"o","labelOO"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20013","Sede di Antiquarium statale di Numana"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20017","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per le Province di Brindisi e Lecce"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20021","Sede di Museo archeologico nazionale di Reggio Calabria"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20022","Sede di Direzione Musei Statali della Città di Roma"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20023","Sede di Museo archeologico nazionale di Reggio Calabria"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20024","Sede di Museo archeologico nazionale di Reggio Calabria"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20025","Sede di Museo archeologico Caburrum"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20026","Sede di Museo civico A. Olmo e gipsoteca D.Calandra"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20027","Sede di Archivio di Stato di Verbania"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20028","Sede di Archivio di Stato di Reggio Emilia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20029","Sede di Parco Archeologico di Ostia Antica"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20030","Sede di Antiquarium statale di Numana"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20031","Sede di Archivio di Stato di Rieti"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20032","Sede di Museo del lavoro e delle tradizioni popolari della Versilia storica"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20033","Sede di Museo archeologico nazionale di Cividale del Friuli"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20049","Sede di Direzione Regionale Musei Molise"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20061","Sede di Museo archeologico nazionale di Chiavari"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20073","Sede di Museo delle arti e tradizioni popolari dell’Alta Valle del Tevere - Palazzo Taglieschi"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20084","Sede di Direzione Regionale Musei Liguria"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20093","Sede di Museo nazionale Jatta"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20099","Sede di Museo di archeologia ligure"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20100","Sede di Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna"""
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20101","Sede di Area Archeologica del Santuario Etrusco di Cannicella"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20105","Sede di Museo archeologico nazionale “Giuseppe Andreassi” e Parco archeologico di Egnazia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20109","Sede di Museo archeologico nazionale e Castello di Gioia del Colle"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20116","Sede di Biblioteca Statale di Macerata"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20117","Sede di Istituto Centrale per i Beni Sonori ed Audiovisivi"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20118","Sede di Museo civico Polironiano"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20119","Sede di Museo e Parco archeologico nazionale di Locri"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20124","Sede di Gallerie Estensi - Galleria estense"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20127","Sede di Parco archeologico di Siponto"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20148","Sede di Parco archeologico di Sepino - Area archeologica di Altilia-Saepinum"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20156","Sede di Museo archeologico di Venafro"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20157","Sede di Direzione Regionale Musei Sardegna"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20160","Sede di Antiquarium e Parco archeologico di Castelseprio"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20162","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per le province di Sassari e Nuoro"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20167","Sede di Soprintendenza Archivistica della Sicilia - Archivio di Stato di Palermo"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20168","Sede di Museo archeologico Santa Maria delle Monache"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20169","Sede di Complesso monumentale di San Vincenzo al Volturno"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20170","Sede di Direzione Regionale Musei Veneto"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20175","Sede di Soprintendenza Archivistica della Sicilia - Archivio di Stato di Palermo"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20176","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio dell'Umbria"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20208","Sede di Villa Adriana e Villa d'Este - Area archeologica di Villa Adriana"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20223","Sede di Museo archeologico di Eboli e della Media Valle del Sele e Aree archeologiche delle fornaci SS. Cosma e Damiano e della Villa Romana di Paterno"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20225","Sede di Museo archeologico nazionale del Sannio Caudino"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20229","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per le province di L'Aquila e Teramo"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20240","Sede di Archivio di Stato di Biella"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20245","Sede di Direzione Regionale Musei Toscana"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20250","Sede di Biblioteca Statale Isontina di Gorizia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20253","Sede di Museo archeologico nazionale di Napoli"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20254","Sede di Museo archeologico nazionale di Metaponto"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20257","Sede di Musei Reali"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20260","Sede di Certosa di San Giacomo"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20268","Sede di Museo archeologico nazionale della Valle del Sarno"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20276","Sede di Castel Sant'Elmo e Museo del Novecento a Napoli"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20279","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per la Basilicata"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20281","Sede di Museo della ceramica Duca di Martina in Villa Floridiana"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20293","Sede di Parco archeologico di Paestum e Velia - Area archeologica di Paestum"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20302","Sede di Direzione Regionale Musei Sardegna"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20313","Sede di Museo e Real Bosco di Capodimonte"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20314","Sede di Direzione Regionale Musei Liguria"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20317","Sede di Direzione Regionale Musei Sardegna"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20319","Sede di Archivio di Stato di Perugia. Sezione di Assisi"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20320","Sede di Soprintendenza Archivistica della Sicilia - Archivio di Stato di Palermo"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20322","Sede di Archivio di Stato di Perugia. Sezione di Spoleto"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20338","Sede di Parco archeologico del Colosseo - Foro Romano e Palatino"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20342","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per la provincia di Viterbo e per l'Etruria meridionale"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20346","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per la provincia di Viterbo e per l'Etruria meridionale"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20347","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per la provincia di Viterbo e per l'Etruria meridionale"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20348","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per la provincia di Viterbo e per l'Etruria meridionale"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20349","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per la provincia di Viterbo e per l'Etruria meridionale"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20350","Sede di Direzione Regionale Musei Sardegna"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20360","Sede di Direzione Regionale Musei Toscana"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20365","Sede di Museo delle navi romane di Nemi"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20366","Sede di Museo delle navi romane di Nemi"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20369","Sede di Museo archeologico nazionale di Taranto - MArTA"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20374","Sede di Galleria nazionale di Cosenza"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20386","Sede di Biblioteca nazionale centrale di Roma"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20391","Sede di Parco archeologico del Colosseo - Foro Romano e Palatino"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20408","Sede di Gallerie dell’Accademia di Venezia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20408","Sede di Gallerie dell'Accademia di Venezia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20415","Sede di Direzione Generale  Educazione, Ricerca e Istituti Culturali"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20427","Sede di Archivio di Stato di Ancona"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20439","Sede di Castel Beseno"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20441","Sede di Castel Thun"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20453","Sede di Museo nazionale di Villa Pisani"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20469","Sede di Biblioteca Universitaria di Padova"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20472","Sede di Biblioteca Nazionale Marciana di Venezia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20474","Sede di Biblioteca Universitaria di Genova"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20475","Sede di Archivio di Stato di Bergamo"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20476","Sede di Archivio di Stato di Firenze"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20478","Sede di Biblioteca Marucelliana di Firenze"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20479","Sede di Galleria Spada"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20480","Sede di Archivio di Stato di Savona"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20482","Sede di Museo nazionale romano - Crypta Balbi"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20484","Sede di Archivio di Stato di Torino"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20485","Sede di Biblioteca Universitaria di Napoli"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20486","Sede di Direzione Regionale Musei Toscana"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20497","Sede di Museo archeologico nazionale ""Vito Capialbi"""
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20498","Sede di Istituto Centrale per la Patologia degli Archivi e del Libro"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20502","Sede di Biblioteca Universitaria di Pavia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20514","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per le province di Caserta e Benevento"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20520","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per le province di Caserta e Benevento"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20524","Sede di Museo nazionale romano - Palazzo Massimo"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20563","Sede di Museo Diego Aragona Pignatelli Cortes e Museo delle Carrozze"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20595","Sede di Direzione regionale Musei Lombardia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20617","Sede di Galleria nazionale dell'Umbria"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20621","Sede di Biblioteca Statale di Macerata"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20622","Sede di Archivio di Stato di Alessandria"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20625","Sede di Gallerie dell'Accademia di Venezia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20643","Sede di Gallerie degli Uffizi – Gli Uffizi"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20647","Sede di Archivio di Stato di Sondrio"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20660","Sede di Istituto Centrale per il Catalogo Unico delle biblioteche italiane e per le informazioni bibliografiche - ICCU"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20664","Sede di Biblioteca nazionale Marciana"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20664","Sede di Biblioteca nazionale Marciana - Sale monumentali"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20664","Sede di Biblioteca Nazionale Marciana di Venezia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20665","Sede di Archivio di Stato di Bari"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20666","Sede di Archivio di Stato di Salerno"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20667","Sede di Archivio di Stato di Salerno"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20669","Sede di Archivio di Stato di Massa"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20670","Sede di Archivio di Stato di Trieste"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20674","Sede di Soprintendenza Archivistica e Bibliografica della Lombardia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20675","Sede di Archivio di Stato di Bari. Sezione di Barletta"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20685","Sede di Rocca Roveresca di Senigallia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20700","Sede di Archivio di Stato di Bologna, Sezione di Imola"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20705","Sede di Direzione Regionale Musei Toscana"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20717","Sede di Istituto autonomo Vittoriano e Palazzo Venezia - Palazzo Venezia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20723","Sede di Museo nazionale degli strumenti musicali"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20724","Sede di Gallerie Estensi - Pinacoteca nazionale di Ferrara"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20735","Sede di Archivio di Stato di Rovigo"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20761","Sede di Biblioteca Universitaria di Pavia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20762","Sede di Parco archeologico di Paestum e Velia - Museo archeologico nazionale"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20771","Sede di Archivio di Stato di Reggio Calabria. Sezione di Palmi"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20775","Sede di Biblioteca Universitaria di Sassari"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20778","Sede di Museo Hendrik Christian Andersen"
