"label","labelO","labelCi"
"Storie segrete a Palazzo Grimani_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Indirizzo della Sede di: Museo di Palazzo Grimani","Venezia"
"#Domenicalmuseo. All'Anfiteatro  campano dalle 10.30 “Una giornata da gladiatore”","Indirizzo della Sede di: Anfiteatro campano","Santa Maria Capua Vetere"
"Un nuovo progetto Art Bonus per il restauro dei gruppi scultorei della Grotta degli animali","Indirizzo della Sede di: Giardino della Villa medicea di Castello","Firenze"
"Un nuovo progetto Art Bonus per il restauro dei gruppi scultorei della Grotta degli animali_Copia","Indirizzo della Sede di: Giardino della Villa medicea di Castello","Firenze"
"#Domenicalmuseo. Riapre il Museo archeologico dell'antica Capua","Indirizzo della Sede di: Museo archeologico dell'antica Capua e Mitreo","Santa Maria Capua Vetere"
"Oltre Caravaggio. Un nuovo racconto della pittura a Napoli","Indirizzo della Sede di: Museo e Real Bosco di Capodimonte","Napoli"
"Dialoghi in Curia. Il Restauro come ‘cura’ da John Ruskin a Giacomo Boni","Indirizzo della Sede di: Parco archeologico del Colosseo - Foro Romano e Palatino","Roma"
"Parco Archeologico dell'Appia Antica. Chiesa di San Nicola. Conversazioni a bordo scavo","Indirizzo della Sede di: Parco archeologico dell'Appia antica  - Mausoleo di Cecilia Metella e Chiesa di San Nicola","Roma"
"Parco Archeologico dell'Appia Antica. Chiesa di San Nicola. Conversazioni a bordo scavo_Copia","Indirizzo della Sede di: Parco archeologico dell'Appia antica  - Mausoleo di Cecilia Metella e Chiesa di San Nicola","Roma"
"Parco Archeologico dell'Appia Antica. Incontri di Archeologia al Parco delle Tombe di Via Latina. Cartagine oltre il mito. Prima e dopo il 146 a.C._Copia_Copia","Indirizzo della Sede di: Parco archeologico dell'Appia antica - Parco delle Tombe della via Latina e Basilica di Santo Stefano","Roma"
"Pompei: domenica 3 aprile 2022, prima domenica del mese, torna “Domeniche gratuite”. Dal 1 aprile al 4 luglio riparte ""Pompeii Artebus""","Indirizzo della Sede di: Parco archeologico di Pompei - Area archeologica di Pompei","Pompei"
"I dipinti raffiguranti la Pietra blu di Paolo Salvati, Ut pictura poesis","Indirizzo della Sede di: Biblioteca Vallicelliana","Roma"
"Anna Angelucci dialoga con Anna Rita Verardo","Indirizzo della Sede di: Biblioteca Vallicelliana di Roma","Roma"
"Dal Castello Bufalini a Cospaia","Indirizzo della Sede di: Castello Bufalini","San Giustino"
"Conferenza “Agli albori della romanizzazione nel Parmense: il castrum di Bora Malgara nel Parco Nazionale dell’Appennino Tosco-Emiliano”","Indirizzo della Sede di: Complesso Monumentale della Pilotta","Parma"
"PASQUA 2022","Indirizzo della Sede di: Ministero della cultura","Roma"
"PASQUETTA 2022","Indirizzo della Sede di: Ministero della cultura","Roma"
"25 APRILE 2022","Indirizzo della Sede di: Ministero della cultura","Roma"
"Il Mammut del Castello_Copia","Indirizzo della Sede di: MuNDA - Museo nazionale d'Abruzzo","L'Aquila"
"Il Mammut del Castello_Copia_Copia","Indirizzo della Sede di: MuNDA - Museo nazionale d'Abruzzo","L'Aquila"
"Il Mammut del Castello_Copia_Copia_Copia","Indirizzo della Sede di: MuNDA - Museo nazionale d'Abruzzo","L'Aquila"
"Corcorso nazionale letterario ""Rina Gatti""","Indirizzo della Sede di: Museo archeologico nazionale dell'Umbria","Perugia"
"Giornata mondiale della Salute | Addio pigrizia! Ricominciamo dagli stili di vita","Indirizzo della Sede di: Museo della ceramica Duca di Martina in Villa Floridiana","Napoli"
"Museo Nazionale Collezione Salce, 2 sedi per la più importante raccolta Italiana di manifesti storici_Copia_Copia","Indirizzo della Sede di: Museo nazionale Collezione Salce sede di Santa Margherita","Treviso"
"We LOVE Lis, al Museo Archeologico Nazionale di Caorle_Copia_Copia_Copia_Copia_Copia_Copia","Indirizzo della Sede di: Museo nazionale di Archeologia del Mare","Caorle"
"Mostra Bartolomeo Pinelli. Visioni dantesche","Indirizzo della Sede di: Museo nazionale di Castel Sant'Angelo e Passetto di Borgo","Roma"
"Il Castello racconta la sua storia","Indirizzo della Sede di: Museo nazionale di Castel Sant'Angelo e Passetto di Borgo","Roma"
"In restauro gli antichi cannoni di Miramare","Indirizzo della Sede di: Museo storico e il Parco del Castello di Miramare","Trieste"
"“C’era una volta”…Francesco Rosi in Certosa","Indirizzo della Sede di: Certosa di San Lorenzo","Padula"
"Festività di fine anno nei musei della Direzione","Indirizzo della Sede di: Direzione Musei Statali della Città di Roma","Roma"
"DREAMS - Riscoperta ed innovazione nella musica classica del ventunesimo secolo","Indirizzo della Sede di: Galleria nazionale di Cosenza","Cosenza"
"C'è tempo per le nespole. Nuove narrazioni dalla Grande Guerra","Indirizzo della Sede di: Istituto Centrale per il Catalogo e la Documentazione","Roma"
"Natale al Museo della Siritide. Calendario delle aperture straordinarie","Indirizzo della Sede di: Museo archeologico nazionale della Siritide - Policoro","Policoro"
"""Incontri al Museo"" 2022 - 2023. Per i 50 anni dalla scoperta e per l'anniversario della mostra, il direttore Mario Iozzo presenta ""I Bronzi di Riace a Firenze: storia di un’emozione collettiva""","Indirizzo della Sede di: Museo archeologico nazionale di Firenze","Firenze"
"Baby Pit Stop UNICEF al Museo","Indirizzo della Sede di: Museo archeologico nazionale di Pontecagnano e Parco archeologico di Pontecagnano","Pontecagnano Faiano"
"“Sulle vie del Romanico”. Conferenza e visite tematiche","Indirizzo della Sede di: Museo nazionale d'arte medievale e moderna","Arezzo"
"L'Inferno","Indirizzo della Sede di: Museo nazionale degli strumenti musicali","Roma"
"Dicembre al museo di Villa Guinigi. Aperture gratuite, visite guidate e laboratori per bambini","Indirizzo della Sede di: Museo nazionale di Villa Guinigi","Lucca"
"L’arrivo di Enea presso Evandro sul Palatino. Riconciliare Greci e Troiani in età augustea","Indirizzo della Sede di: Parco Archeologico del Colosseo","Roma"
"TRAME final online Symposium","Indirizzo della Sede di: Parco Archeologico del Colosseo","Roma"
"Il viaggio di Enea. Da Troia a Roma","Indirizzo della Sede di: Parco archeologico del Colosseo - Foro Romano e Palatino","Roma"
"Depositi In-visibili. Dalla catalogazione alla fruizione. Convegno internazionale, 15-16 dicembre 2022","Indirizzo della Sede di: Parco archeologico del Colosseo - Foro Romano e Palatino","Roma"
"Dialoghi in Curia. Presentazione del volume “Nero’s Domus Aurea. Reconstruction and Reception of the Volta Dorata”","Indirizzo della Sede di: Parco archeologico del Colosseo - Foro Romano e Palatino","Roma"
"Dicembre al museo. Aperture gratuite, visite guidate e laboratori per bambini","Indirizzo della Sede di: Pinacoteca Nazionale e Museo di Palazzo Mansi","Lucca"
"Concerto di Natale 2022 del Quartiere 5 con l'Orchestra da Camera Fiorentina e la Società di Danza Firenze","Indirizzo della Sede di: Villa medicea della Petraia","Firenze"
"Apertura straordinaria del Parco Archeologico e Antiquarium di Castelseprio","Indirizzo della Sede di: Antiquarium e Parco archeologico di Castelseprio","Castelseprio"
