"label","labelOO","labelCi"
"“Un brindisi per l’eternità”, all'Antiquarium statale di Numana._Copia","Sede di Antiquarium statale di Numana","Numana"
"Giornate Europee del Patrimonio 2022 al Museo della Cartapesta","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per le Province di Brindisi e Lecce","Lecce"
"La storia ragionevole dei Bronzi di Riace","Sede di Museo archeologico nazionale di Reggio Calabria","Reggio di Calabria"
"Osservando le mura aureliane: una passeggiata da via Cristoforo Colombo a  piazzale Ostiense","Sede di Direzione Musei Statali della Città di Roma","Roma"
"PATRIMONIO CULTURALE: BENI MATERIALI E BENI IMMATERIALI","Sede di Museo archeologico nazionale di Reggio Calabria","Reggio di Calabria"
"Letture della Magna Grecia","Sede di Museo archeologico nazionale di Reggio Calabria","Reggio di Calabria"
"evento solo on site","Sede di Museo archeologico Caburrum","Cavour"
"mostra","Sede di Museo civico A. Olmo e gipsoteca D.Calandra","Savigliano"
"mostra","Sede di Archivio di Stato di Verbania","Verbania"
"Saba, Salami e Vitruvio...Gian Battista Venturi nelle carte di famiglia","Sede di Archivio di Stato di Reggio Emilia","Reggio nell'Emilia"
"Alla scoperta dei siti “Marchio del patrimonio europeo”","Sede di Parco Archeologico di Ostia Antica","Roma"
"“Un brindisi per l’eternità”, all'Antiquarium statale di Numana._Copia_Copia_Copia","Sede di Antiquarium statale di Numana","Numana"
"Giornate europee del patrimonio","Sede di Archivio di Stato di Rieti","Rieti"
"Palazzo Mediceo: il patrimonio De’Medici in Versilia","Sede di Museo del lavoro e delle tradizioni popolari della Versilia storica","Seravezza"
"MAN Cividale - Presentazione del libro NASCOSTE NELLA TELA","Sede di Museo archeologico nazionale di Cividale del Friuli","Cividale del Friuli"
"Piccolo museo Occhia a candela e Antica biblioteca scolastica - Giornate europee del patrimonio","Sede di Direzione Regionale Musei Molise","Frosolone"
"Apertura straordinaria e visite guidate al Museo archeologico nazionale di Chiavari","Sede di Museo archeologico nazionale di Chiavari","Chiavari"
"Apertura straordinaria serale e visite accompagnate per le GEP 2022","Sede di Museo delle arti e tradizioni popolari dell’Alta Valle del Tevere - Palazzo Taglieschi","Anghiari"
"ALLA SCOPERTA DEL LUCUS BORMANI.. UN VIAGGIO DI 100.000 ANNI ATTRAVERSO IL PATRIMONIO CULTURALE DIANESE","Sede di Direzione Regionale Musei Liguria","Diano Marina"
"GEP 2022  Apertura straordinaria con visita guidata a tema alla mostra “Collezionauta. Capolavori attraverso il tempo”","Sede di Museo nazionale Jatta","Ruvo di Puglia"
"Passeggiata archeologica a Genova","Sede di Museo di archeologia ligure","Genova"
"GEP 2022 - Visite guidate in Galleria. Il Palazzo e la Collezione.","Sede di Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","Bitonto"
"Orvieto – Area archeologica della Cannicella","Sede di Area Archeologica del Santuario Etrusco di Cannicella","Orvieto"
"GEP 2022 - “Cantiere aperto”  - novità dallo scavo in corso raccontate dagli archeologi dell’Università di Bari","Sede di Museo archeologico nazionale “Giuseppe Andreassi” e Parco archeologico di Egnazia","Fasano"
"GEP 2022 - Una notte al Museo","Sede di Museo archeologico nazionale e Castello di Gioia del Colle","Gioia del Colle"
"Giornate Europee del Patrimonio 2022 - Apertura straordinaria della Biblioteca Statale di Macerata","Sede di Biblioteca Statale di Macerata","Macerata"
"ICBSA-GIORNATE EUROPEE DEL PATRIMONIO 2022","Sede di Istituto Centrale per i Beni Sonori ed Audiovisivi","Roma"
"Giornate Europee del Patrimonio al Museo Polironiano: mostra “Architetture d’acqua”","Sede di Museo civico Polironiano","San Benedetto Po"
"GEP 2022 - Le proposte del Museo e Parco archeologico nazionale di Locri","Sede di Museo e Parco archeologico nazionale di Locri","Locri"
"Mostra","Sede di Gallerie Estensi - Galleria estense","Modena"
"GEP 2022 al Parco Archeologico di Siponto","Sede di Parco archeologico di Siponto","Manfredonia"
"Giornate europee del Patrimonio 2022 - Parco archeologico di sepino - Museo della città e del territorio_Copia","Sede di Parco archeologico di Sepino - Area archeologica di Altilia-Saepinum","Sepino"
"Giornate europee del Patrimonio 2022 - Castello di Capua_Copia","Sede di Museo archeologico di Venafro","Venafro"
"Attività di valorizzazione al Nuraghe Candelargiu","Sede di Direzione Regionale Musei Sardegna","San Giovanni Suergiu"
"Giornate Europee del Patrimonio a Castelseprio: apertura straordinaria serale","Sede di Antiquarium e Parco archeologico di Castelseprio","Castelseprio"
