"label","count"
"ITALIA, Lazio, RM, Roma",51680
"Lazio, RM, Roma",38760
"RM, ROMA",38760
"Rm, Roma",25840
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Merano, Piazza Duomo 6",21023
"Italia, Lombardia, RM, Roma",12920
"ITALIA, Lazio, RM, Roma, Circo Massimo (lato breve curvo)",12920
"Toscana, RM, Roma",12920
"RM, Roma",12920
"ITALIA, Lazio, RM, Roma, Prati Fiscali",12920
"ITALIA, RM, Roma",12920
"ITALIA, Lazio, RM, Roma, ante 1873",12920
"Italia, RM, Roma",12920
"Italia, Toscana, RM, Roma",12920
"ITALIA, Lazio, RM, Roma, Ghetto",12920
"Europa, ITALIA, Lazio, RM, Roma",12920
"Europa - Italia - Lazio - Rm - Roma",12920
"Italia, Lazio, RM, Roma",12920
"ITALIA, Lazio, RM, Roma, Agro Romano",12920
"ITALIA, Lazio, RM, Roma, Castel Malnome",12920
"Italia, Lazio, RM, ROMA",12920
"Italia, Roma, RM, Roma",12920
"ITALIA, Toscana, RM, Roma",12920
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Parcines, Piazza della Chiesa 10",11242
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Merano, Via S. Valentino 51a",10401
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Brunico, Teodone, Via Duca Diet 24",6247
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Bressanone, Via Ponte Aquila 4",6123
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Aldino, Piazza del Paese 41",4690
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Bolzano, Piazza Piero Siena 1",2638
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Egna, Via Andreas Hofer 50",2042
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Ortisei, Cësa di Ladins, Via Rezia 83",1760
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Bressanone, Via Fienili 8b",1100
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, San Martino in Badia, Castel Tor, Via Tor 65",985
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Bolzano, Palazzo 2, Piazza Silvius Magnago 10",792
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Brunico, Via Bruder Willram 1",710
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Bolzano, Piazza della Vittoria 47",637
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Bolzano, Via Cassa di Risparmio 14",612
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Chiusa, Gudon 47",426
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Merano, Corso Libertà 33",337
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Sarentino, Via Ronco 10",264
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Bolzano, Via Pascoli 2/a",228
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Bolzano, Via Museo 43",203
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Ultimo, S. Nicolò 107",171
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Bressanone, Piazza Palazzo Vescovile 2",149
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Termeno, Piazza Municipio 9",51
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Bolzano, Convento Muri Gries, Piazza Gries 21",39
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Bolzano, Via Fago 50/B",21
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Merano, Via Mainardo 2",20
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Luson, Vicolo Dorf 12",19
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Bolzano, Palazzo 7, via Andreas Hofer 18",17
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, San Leonardo in Passiria, Maso Sand, Via Passiria 72",3
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Funes, Pro Loco di Tiso, Via Teiser 12",1
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Malles, Slingia 1",1
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Chiusa, Convento dei Capuccini, Fraghes 1",1
"Italia, Regione Trentino-Alto Adige, Provincia autonoma di Bolzano, Moso in Passiria, Paese 29/A",1
