,s,time,starttime,endtime
0,http://dati.beniculturali.it/mibact/eventi/resource/CulturalEvent/20386,http://dati.beniculturali.it/mibact/eventi/resource/TimeInterval/Durata_di_20386,2022-09-29 00:00:00,2022-09-29 00:00:00
1,http://dati.beniculturali.it/mibact/eventi/resource/CulturalEvent/20669,http://dati.beniculturali.it/mibact/eventi/resource/TimeInterval/Durata_di_20669,2022-10-09 00:00:00,2022-10-09 00:00:00
2,http://dati.beniculturali.it/mibact/eventi/resource/CulturalEvent/20670,http://dati.beniculturali.it/mibact/eventi/resource/TimeInterval/Durata_di_20670,2022-10-09 00:00:00,2022-12-31 00:00:00
3,http://dati.beniculturali.it/mibact/eventi/resource/CulturalEvent/20674,http://dati.beniculturali.it/mibact/eventi/resource/TimeInterval/Durata_di_20674,2022-10-08 00:00:00,2022-10-09 00:00:00
4,http://dati.beniculturali.it/mibact/eventi/resource/CulturalEvent/20675,http://dati.beniculturali.it/mibact/eventi/resource/TimeInterval/Durata_di_20675,2022-10-09 00:00:00,2022-10-09 00:00:00
5,http://dati.beniculturali.it/mibact/eventi/resource/CulturalEvent/20685,http://dati.beniculturali.it/mibact/eventi/resource/TimeInterval/Durata_di_20685,2022-10-06 00:00:00,2022-10-09 00:00:00
6,http://dati.beniculturali.it/mibact/eventi/resource/CulturalEvent/20677,http://dati.beniculturali.it/mibact/eventi/resource/TimeInterval/Durata_di_20677,2022-10-09 00:00:00,2022-10-09 00:00:00
7,http://dati.beniculturali.it/mibact/eventi/resource/CulturalEvent/20686,http://dati.beniculturali.it/mibact/eventi/resource/TimeInterval/Durata_di_20686,2022-10-09 00:00:00,2022-10-09 00:00:00
8,http://dati.beniculturali.it/mibact/eventi/resource/CulturalEvent/20687,http://dati.beniculturali.it/mibact/eventi/resource/TimeInterval/Durata_di_20687,2022-10-08 00:00:00,2022-10-08 00:00:00
9,http://dati.beniculturali.it/mibact/eventi/resource/CulturalEvent/20688,http://dati.beniculturali.it/mibact/eventi/resource/TimeInterval/Durata_di_20688,2022-10-09 00:00:00,2022-10-09 00:00:00
10,http://dati.beniculturali.it/mibact/eventi/resource/CulturalEvent/20694,http://dati.beniculturali.it/mibact/eventi/resource/TimeInterval/Durata_di_20694,2022-10-09 00:00:00,2022-10-09 00:00:00
11,http://dati.beniculturali.it/mibact/eventi/resource/CulturalEvent/20684,http://dati.beniculturali.it/mibact/eventi/resource/TimeInterval/Durata_di_20684,2022-10-09 00:00:00,2022-10-09 00:00:00
12,http://dati.beniculturali.it/mibact/eventi/resource/CulturalEvent/20384,http://dati.beniculturali.it/mibact/eventi/resource/TimeInterval/Durata_di_20384,2022-10-02 00:00:00,2022-10-02 00:00:00
13,http://dati.beniculturali.it/mibact/eventi/resource/CulturalEvent/20681,http://dati.beniculturali.it/mibact/eventi/resource/TimeInterval/Durata_di_20681,2022-10-09 00:00:00,2022-10-09 00:00:00
14,http://dati.beniculturali.it/mibact/eventi/resource/CulturalEvent/20383,http://dati.beniculturali.it/mibact/eventi/resource/TimeInterval/Durata_di_20383,2022-09-27 00:00:00,2022-09-27 00:00:00
15,http://dati.beniculturali.it/mibact/eventi/resource/CulturalEvent/20680,http://dati.beniculturali.it/mibact/eventi/resource/TimeInterval/Durata_di_20680,2022-10-04 00:00:00,2023-02-26 00:00:00
16,http://dati.beniculturali.it/mibact/eventi/resource/CulturalEvent/20682,http://dati.beniculturali.it/mibact/eventi/resource/TimeInterval/Durata_di_20682,2022-10-08 00:00:00,2022-10-08 00:00:00
17,http://dati.beniculturali.it/mibact/eventi/resource/CulturalEvent/20683,http://dati.beniculturali.it/mibact/eventi/resource/TimeInterval/Durata_di_20683,2022-10-08 00:00:00,2022-10-08 00:00:00
18,http://dati.beniculturali.it/mibact/eventi/resource/CulturalEvent/20387,http://dati.beniculturali.it/mibact/eventi/resource/TimeInterval/Durata_di_20387,2022-09-29 00:00:00,2022-09-29 00:00:00
19,http://dati.beniculturali.it/mibact/eventi/resource/CulturalEvent/20390,http://dati.beniculturali.it/mibact/eventi/resource/TimeInterval/Durata_di_20390,2022-09-24 00:00:00,2022-09-25 00:00:00
20,http://dati.beniculturali.it/mibact/eventi/resource/CulturalEvent/20676,http://dati.beniculturali.it/mibact/eventi/resource/TimeInterval/Durata_di_20676,2022-10-09 00:00:00,2022-10-09 00:00:00
21,http://dati.beniculturali.it/mibact/eventi/resource/CulturalEvent/16061,http://dati.beniculturali.it/mibact/eventi/resource/TimeInterval/Durata_di_16061,2022-03-25 00:00:00,2022-03-25 00:00:00
