,count,starttime
0,3,2022-12-30 00:00:00
1,1,2022-09-19 00:00:00
2,2,2023-02-19 00:00:00
3,3,2023-01-24 00:00:00
4,4,2023-01-30 00:00:00
5,29,2020-04-25 00:00:00
6,20,2020-05-27 00:00:00
7,11,2020-06-17 00:00:00
8,8,2019-10-22 00:00:00
9,23,2020-04-27 00:00:00
10,40,2020-04-28 00:00:00
11,21,2019-11-09 00:00:00
12,29,2020-05-01 00:00:00
13,44,2020-05-06 00:00:00
14,35,2020-05-07 00:00:00
15,11,2019-10-27 00:00:00
16,32,2020-05-12 00:00:00
17,10,2019-10-30 00:00:00
18,28,2020-05-21 00:00:00
19,15,2020-06-05 00:00:00
20,8,2020-06-10 00:00:00
21,15,2020-06-18 00:00:00
22,31,2020-06-21 00:00:00
23,40,2020-06-19 00:00:00
24,7,2021-10-19 00:00:00
25,5,2019-11-18 00:00:00
26,12,2020-10-01 00:00:00
27,9,2020-10-18 00:00:00
28,10,2020-12-25 00:00:00
29,2,2021-01-16 00:00:00
30,5,2022-02-11 00:00:00
31,2,2021-02-20 00:00:00
32,5,2021-03-20 00:00:00
33,4,2021-04-08 00:00:00
34,2,2021-04-17 00:00:00
35,15,2021-04-26 00:00:00
36,4,2021-05-08 00:00:00
37,10,2021-05-03 00:00:00
38,5,2021-05-30 00:00:00
39,16,2021-05-28 00:00:00
40,7,2021-06-01 00:00:00
41,15,2019-12-05 00:00:00
42,12,2021-07-15 00:00:00
43,12,2021-07-23 00:00:00
44,11,2021-07-29 00:00:00
45,16,2021-06-30 00:00:00
46,4,2021-08-05 00:00:00
47,8,2021-08-04 00:00:00
48,5,2021-08-26 00:00:00
49,8,2019-12-26 00:00:00
50,7,2021-09-22 00:00:00
51,4,2021-10-13 00:00:00
52,12,2021-11-27 00:00:00
53,16,2020-01-27 00:00:00
54,3,2022-02-13 00:00:00
55,3,2022-01-07 00:00:00
56,2,2021-12-23 00:00:00
57,6,2021-12-30 00:00:00
58,7,2022-01-20 00:00:00
59,4,2022-01-15 00:00:00
60,3,2022-02-16 00:00:00
61,6,2019-09-25 00:00:00
62,3,2022-02-15 00:00:00
63,9,2020-02-01 00:00:00
64,16,2020-04-04 00:00:00
65,1,2020-02-27 01:00:00
66,4,2019-09-18 00:00:00
67,1,2019-06-15 00:00:00
68,4,2020-09-01 00:00:00
69,5,2019-09-13 00:00:00
70,6,2019-10-21 00:00:00
71,45,2020-03-26 00:00:00
72,38,2020-03-28 00:00:00
73,34,2020-03-31 00:00:00
74,51,2020-04-09 00:00:00
75,14,2020-04-13 00:00:00
76,9,2020-05-30 00:00:00
77,29,2020-05-09 00:00:00
78,2,2019-09-17 00:00:00
79,12,2020-06-09 00:00:00
80,6,2020-06-12 00:00:00
81,5,2020-06-13 00:00:00
82,32,2020-04-30 00:00:00
83,40,2020-04-16 00:00:00
84,49,2020-04-23 00:00:00
85,39,2020-04-22 00:00:00
86,24,2020-04-18 00:00:00
87,1,2022-03-28 00:00:00
88,1,2022-05-03 00:00:00
89,7,2021-03-05 00:00:00
90,6,2021-04-22 00:00:00
91,5,2021-05-09 00:00:00
92,9,2021-05-14 00:00:00
93,8,2021-06-12 00:00:00
94,7,2021-07-26 00:00:00
95,7,2021-10-04 00:00:00
96,2,2021-12-31 00:00:00
97,2,2019-11-04 00:00:00
98,12,2020-05-23 00:00:00
99,4,2020-08-20 00:00:00
100,2,2020-08-30 00:00:00
101,2,2020-07-17 00:00:00
102,3,2020-09-07 00:00:00
103,3,2021-05-23 00:00:00
104,4,2021-03-18 00:00:00
105,7,2021-07-18 00:00:00
106,5,2021-08-03 00:00:00
107,12,2021-07-16 00:00:00
108,7,2021-06-03 00:00:00
109,5,2021-08-20 00:00:00
110,2,2022-01-09 00:00:00
111,8,2022-02-01 00:00:00
112,2,2022-02-20 00:00:00
113,4,2021-09-20 00:00:00
114,13,2021-11-12 00:00:00
115,12,2021-12-02 00:00:00
116,1,2015-05-01 00:00:00
117,1,2022-04-25 12:04:00
118,6,2020-10-04 00:00:00
119,7,2020-10-25 00:00:00
120,17,2020-10-02 00:00:00
121,6,2020-11-19 00:00:00
122,2,2020-10-13 00:00:00
123,2,2020-11-15 00:00:00
124,10,2021-01-31 00:00:00
125,1,2021-04-04 00:00:00
126,1,2021-04-25 00:00:00
127,8,2019-12-30 00:00:00
128,10,2020-01-04 00:00:00
129,7,2020-01-19 00:00:00
130,10,2020-01-20 00:00:00
131,7,2021-11-17 00:00:00
132,12,2019-11-25 00:00:00
133,1,2017-10-21 00:00:00
134,1,2020-08-14 00:00:00
135,1,2020-08-23 00:00:00
136,1,2020-08-19 00:00:00
137,1,2020-11-21 00:00:00
138,2,2020-11-24 00:00:00
139,6,2021-11-29 00:00:00
140,7,2022-12-05 00:00:00
141,5,2022-09-13 00:00:00
142,3,2020-09-08 00:00:00
143,8,2020-09-21 00:00:00
144,2,2020-11-16 00:00:00
145,8,2022-06-27 00:00:00
146,5,2022-07-10 00:00:00
147,7,2022-07-31 00:00:00
148,4,2022-08-20 00:00:00
149,5,2022-08-05 00:00:00
