,c
0,http://dati.beniculturali.it/cis/ArchaeologicalArea
1,http://dati.beniculturali.it/cis/ArchaeologicalPark
2,http://dati.beniculturali.it/cis/Attribute
3,http://dati.beniculturali.it/cis/AudioObject
4,http://dati.beniculturali.it/cis/CISNameInTime
5,http://dati.beniculturali.it/cis/CISService
6,http://dati.beniculturali.it/cis/CISType
7,http://dati.beniculturali.it/cis/Catalogue
8,http://dati.beniculturali.it/cis/Cinema
9,http://dati.beniculturali.it/cis/ClericalAdministrativeArea
10,http://dati.beniculturali.it/cis/CollectionCulEnt
11,http://dati.beniculturali.it/cis/CreativeWork
12,http://dati.beniculturali.it/cis/CultResearchCenter
13,http://dati.beniculturali.it/cis/CulturalEntity
14,http://dati.beniculturali.it/cis/CulturalEvent
15,http://dati.beniculturali.it/cis/CulturalHeritageObject
16,http://dati.beniculturali.it/cis/CulturalInstituteOrSite
17,http://dati.beniculturali.it/cis/CulturalLandscapeAsset
18,http://dati.beniculturali.it/cis/CulturalProject
19,http://dati.beniculturali.it/cis/Equipment
20,http://dati.beniculturali.it/cis/GeographicalFeature
21,http://dati.beniculturali.it/cis/GovernamentalAdministrativeArea
22,http://dati.beniculturali.it/cis/HolderOfArchive
23,http://dati.beniculturali.it/cis/ImageObject
24,http://dati.beniculturali.it/cis/Library
25,http://dati.beniculturali.it/cis/MonumentalArea
26,http://dati.beniculturali.it/cis/Museum
27,http://dati.beniculturali.it/cis/NameInTime
28,http://dati.beniculturali.it/cis/NewsArticle
29,http://dati.beniculturali.it/cis/Site
30,http://dati.beniculturali.it/cis/SiteDescription
31,http://dati.beniculturali.it/cis/SubjectDiscipline
32,http://dati.beniculturali.it/cis/Theatre
33,http://dati.beniculturali.it/cis/VideoObject
34,http://dati.beniculturali.it/iccd/fotografico/Conservatore
35,http://dati.beniculturali.it/iccd/fotografico/DefinizioneOggetto
36,http://dati.beniculturali.it/iccd/fotografico/Foto
37,http://dati.beniculturali.it/iccd/fotografico/LivelloDescrizione
38,http://dati.beniculturali.it/iccd/fotografico/Luogo
39,http://dati.beniculturali.it/iccd/fotografico/Produttore
40,http://dati.beniculturali.it/iccd/fotografico/UnitaDescrizione
41,http://dati.gov.it/onto/dcatapit#Agent
42,http://dati.gov.it/onto/dcatapit#Organization
43,http://www.cidoc-crm.org/cidoc-crm/E11_Modification
44,http://www.cidoc-crm.org/cidoc-crm/E30_Right
45,http://www.cidoc-crm.org/cidoc-crm/E34_Inscription
46,http://www.cidoc-crm.org/cidoc-crm/E35_Title
47,http://www.cidoc-crm.org/cidoc-crm/E37_Mark
48,http://www.cidoc-crm.org/cidoc-crm/E3_Condition_State
49,http://www.cidoc-crm.org/cidoc-crm/E8_Acquisition
50,http://www.europeana.eu/schemas/edm/PhysicalThing
