,c
0,http://www.openlinksw.com/schemas/oplweb#Component
1,http://www.openlinksw.com/schemas/oplweb#ComponentArchive
2,http://www.openlinksw.com/schemas/oplweb#ComponentArchiveType
3,http://www.openlinksw.com/schemas/oplweb#ComponentCategory
4,http://www.openlinksw.com/schemas/oplweb#ComponentMode
5,http://www.openlinksw.com/schemas/oplweb#ComponentType
6,http://www.openlinksw.com/schemas/oplweb#DbmsEngine
7,http://www.openlinksw.com/schemas/oplweb#DbmsFamily
8,http://www.openlinksw.com/schemas/oplweb#DownloadLocation
9,http://www.openlinksw.com/schemas/oplweb#DownloadPartner
10,http://www.openlinksw.com/schemas/oplweb#DownloadProtocol
11,http://www.openlinksw.com/schemas/oplweb#GeneralDiscount
12,http://www.openlinksw.com/schemas/oplweb#IncrementalDiscount
13,http://www.openlinksw.com/schemas/oplweb#LicenseModel
14,http://www.openlinksw.com/schemas/oplweb#LicenseType
15,http://www.openlinksw.com/schemas/oplweb#Opsys
16,http://www.openlinksw.com/schemas/oplweb#OpsysFamily
17,http://www.openlinksw.com/schemas/oplweb#OpsysType
18,http://www.openlinksw.com/schemas/oplweb#PriceType
19,http://www.openlinksw.com/schemas/oplweb#PriceUnitIncrementalDiscount
20,http://www.openlinksw.com/schemas/oplweb#PriceUnitType
21,http://www.openlinksw.com/schemas/oplweb#Processor
22,http://www.openlinksw.com/schemas/oplweb#ProcessorFamily
23,http://www.openlinksw.com/schemas/oplweb#ProcessorMode
24,http://www.openlinksw.com/schemas/oplweb#Product
25,http://www.openlinksw.com/schemas/oplweb#ProductBenefit
26,http://www.openlinksw.com/schemas/oplweb#ProductBenefitCategory
27,http://www.openlinksw.com/schemas/oplweb#ProductCategory
28,http://www.openlinksw.com/schemas/oplweb#ProductCategoryFeature
29,http://www.openlinksw.com/schemas/oplweb#ProductFamily
30,http://www.openlinksw.com/schemas/oplweb#ProductFamilyFeature
31,http://www.openlinksw.com/schemas/oplweb#ProductFeature
32,http://www.openlinksw.com/schemas/oplweb#ProductFeatureCategory
33,http://www.openlinksw.com/schemas/oplweb#ProductFormat
34,http://www.openlinksw.com/schemas/oplweb#ProductFormatCategory
35,http://www.openlinksw.com/schemas/oplweb#ProductFormatFeature
36,http://www.openlinksw.com/schemas/oplweb#ProductRelease
37,http://www.openlinksw.com/schemas/oplweb#ProductReleaseFeature
38,http://www.openlinksw.com/schemas/oplweb#VendorCategory
39,http://www.openlinksw.com/schemas/oplweb#VendorCategoryFamily
40,http://www.openlinksw.com/schemas/oplweb#Vendors
41,http://www.w3.org/2002/07/owl#AllDifferent
42,http://www.w3.org/2002/07/owl#AnnotationProperty
43,http://www.w3.org/2002/07/owl#Class
44,http://www.w3.org/2002/07/owl#DataRange
45,http://www.w3.org/2002/07/owl#DatatypeProperty
46,http://www.w3.org/2002/07/owl#DeprecatedClass
47,http://www.w3.org/2002/07/owl#DeprecatedProperty
48,http://www.w3.org/2002/07/owl#FunctionalProperty
49,http://www.w3.org/2002/07/owl#InverseFunctionalProperty
50,http://www.w3.org/2002/07/owl#ObjectProperty
51,http://www.w3.org/2002/07/owl#Ontology
52,http://www.w3.org/2002/07/owl#OntologyProperty
53,http://www.w3.org/2002/07/owl#Restriction
54,http://www.w3.org/2002/07/owl#SymmetricProperty
55,http://www.w3.org/2002/07/owl#TransitiveProperty
