,concept
0,http://www.w3.org/2000/01/rdf-schema#Datatype
1,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat
2,http://www.openlinksw.com/schemas/virtrdf#QuadStorage
3,http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap
4,http://www.openlinksw.com/schemas/virtrdf#QuadMap
5,http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat
6,http://www.openlinksw.com/schemas/virtrdf#QuadMapValue
7,http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable
8,http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn
9,http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn
10,http://www.openlinksw.com/schemas/virtrdf#QuadMapFText
11,http://www.openlinksw.com/schemas/virtrdf#QuadMapATable
12,http://www.openlinksw.com/schemas/virtrdf#array-of-string
13,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
14,http://www.w3.org/2000/01/rdf-schema#Class
15,http://www.w3.org/2002/07/owl#AnnotationProperty
16,http://www.w3.org/ns/sparql-service-description#Service
17,http://www.w3.org/2002/07/owl#Class
18,http://www.w3.org/2002/07/owl#Ontology
19,http://www.w3.org/2002/07/owl#OntologyProperty
20,https://w3id.org/italia/onto/AccessCondition/OpeningHoursSpecification
21,http://dati.beniculturali.it/cis/Site
22,http://www.w3.org/ns/sparql-service-description#Graph
23,http://rdfs.org/ns/void#Dataset
24,http://www.w3.org/ns/dcat#Dataset
25,http://dati.gov.it/onto/dcatapit#Dataset
26,https://w3id.org/italia/onto/CLV/Address
27,https://w3id.org/italia/onto/CLV/Geometry
28,https://w3id.org/italia/onto/l0/Agent
29,http://www.w3.org/2002/07/owl#NamedIndividual
30,http://dati.beniculturali.it/iccd/fotografico/UnitaDescrizione
31,http://xmlns.com/foaf/0.1/Organization
32,http://archivi.ibc.regione.emilia-romagna.it/ontology/eac-cpf#entity
33,http://xmlns.com/foaf/0.1/Agent
34,http://dati.gov.it/onto/dcatapit#Agent
35,https://w3id.org/italia/onto/RO/TimeIndexedRole
36,http://www.w3.org/2006/vcard/ns#Kind
37,http://www.w3.org/2006/vcard/ns#Organization
38,http://dati.gov.it/onto/dcatapit#Organization
39,http://dati.beniculturali.it/cis/CulturalInstituteOrSite
40,http://purl.org/net/provenance/ns#DataItem
41,https://w3id.org/italia/onto/SM/Telephone
42,https://w3id.org/italia/onto/SM/Email
43,https://w3id.org/italia/onto/SM/WebSite
44,https://w3id.org/italia/onto/POT/Ticket
45,https://w3id.org/italia/onto/POT/Offer
46,https://w3id.org/italia/onto/POT/PriceSpecification
47,http://www.w3.org/2004/02/skos/core#ConceptScheme
48,http://dati.beniculturali.it/cis/CISNameInTime
49,https://w3id.org/italia/onto/CLV/Feature
50,https://w3id.org/italia/onto/CLV/City
51,https://w3id.org/italia/onto/SM/OnlineContactPoint
52,https://w3id.org/italia/onto/CLV/StreetToponym
53,https://w3id.org/arco/ontology/catalogue/AccessProfile
54,https://w3id.org/italia/onto/CPV/Person
55,https://w3id.org/arco/ontology/core/AgentRole
56,https://w3id.org/arco/ontology/context-description/Bibliography
57,https://w3id.org/arco/ontology/denotative-description/Brand
58,https://w3id.org/arco/ontology/catalogue/CatalogueRecordOA
59,https://w3id.org/arco/ontology/catalogue/CatalogueRecordVersion
60,https://w3id.org/arco/ontology/denotative-description/CoatOfArms
61,https://w3id.org/arco/ontology/denotative-description/ConservationStatus
62,https://w3id.org/arco/ontology/denotative-description/CulturalEntityTechnicalStatus
63,https://w3id.org/arco/ontology/denotative-description/CulturalPropertyDefinition
64,https://w3id.org/arco/ontology/denotative-description/CulturalPropertySpecification
65,https://w3id.org/arco/ontology/denotative-description/CulturalPropertyType
66,https://w3id.org/arco/ontology/context-description/CulturalScope
67,https://w3id.org/arco/ontology/context-description/CulturalScopeAttribution
68,https://w3id.org/arco/ontology/context-description/Dating
69,https://w3id.org/arco/ontology/denotative-description/DesignationInTime
70,https://w3id.org/italia/onto/l0/Event
71,https://w3id.org/arco/ontology/arco/HistoricOrArtisticProperty
72,https://w3id.org/arco/ontology/arco/MovableCulturalProperty
73,https://w3id.org/arco/ontology/denotative-description/Inscription
74,https://w3id.org/arco/ontology/context-description/LegalSituation
