,p,predicate
0,http://www.w3.org/2000/01/rdf-schema#label,165290477
1,https://w3id.org/italia/onto/l0/name,96089421
2,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,94323003
3,https://w3id.org/arco/ontology/catalogue/hasCatalogueRecordVersionRiT,11850805
4,https://w3id.org/italia/onto/RO/withRole,10197012
5,https://w3id.org/italia/onto/RO/isRoleInTimeOf,10180467
6,https://w3id.org/arco/ontology/catalogue/hasCatalogueRecordVersion,7213327
7,https://w3id.org/arco/ontology/core/hasAgentRole,6929443
8,https://w3id.org/arco/ontology/catalogue/isCatalogueRecordVersionOf,6895903
9,https://w3id.org/arco/ontology/catalogue/editedAtTime,6835329
10,https://w3id.org/arco/ontology/core/hasAgent,6799409
11,https://w3id.org/arco/ontology/core/hasRole,6796647
12,https://w3id.org/arco/ontology/core/isRoleOf,6513422
13,https://w3id.org/arco/ontology/core/isAgentOf,6504965
14,http://purl.org/dc/elements/1.1/source,6485373
15,http://xmlns.com/foaf/0.1/depiction,6400288
16,http://purl.org/dc/elements/1.1/subject,5763429
17,https://w3id.org/arco/ontology/denotative-description/hasMeasurement,5538423
18,https://w3id.org/arco/ontology/core/hasCategory,5236912
19,https://w3id.org/arco/ontology/denotative-description/hasValue,5103203
20,https://w3id.org/arco/ontology/denotative-description/hasMeasurementType,5102712
21,https://w3id.org/italia/onto/MU/value,5097017
22,https://w3id.org/arco/ontology/denotative-description/includesTechnicalCharacteristic,4929976
23,https://w3id.org/arco/ontology/location/hasLocationType,4751529
24,https://w3id.org/arco/ontology/context-description/hasInterpretationCriterion,4751068
25,https://w3id.org/arco/ontology/location/hasTimeIndexedTypedLocation,4640862
26,https://w3id.org/arco/ontology/catalogue/hasOfficialInCharge,4471047
27,https://w3id.org/italia/onto/TI/atTime,4310023
28,https://w3id.org/arco/ontology/location/isTimeIndexedTypedLocationOf,4216720
29,https://w3id.org/arco/ontology/context-description/hasDocumentation,3988373
30,https://w3id.org/arco/ontology/context-description/isDocumentationOf,3967896
31,https://w3id.org/arco/ontology/context-description/hasDocumentationType,3841870
32,http://data.cochrane.org/ontologies/pico/materialAndTechnique,3689483
33,https://w3id.org/arco/ontology/denotative-description/hasTechnicalStatus,3676247
34,https://w3id.org/arco/ontology/catalogue/systemRecordCode,3572662
35,https://w3id.org/arco/ontology/denotative-description/hasMaterialOrTechnique,3559953
36,https://w3id.org/arco/ontology/catalogue/isDescribedByCatalogueRecord,3545685
37,http://purl.org/dc/elements/1.1/publisher,3426084
38,http://purl.org/dc/terms/isReferencedBy,3426084
39,http://purl.org/dc/elements/1.1/language,3426009
40,https://w3id.org/arco/ontology/catalogue/describesCulturalProperty,3425985
41,https://w3id.org/arco/ontology/context-description/hasDatingEvent,3422596
42,https://w3id.org/arco/ontology/context-description/hasDating,3420659
43,http://purl.org/dc/elements/1.1/type,3410432
44,https://w3id.org/arco/ontology/context-description/documentationIdentifier,3222492
45,https://w3id.org/arco/ontology/arco/hasHeritageProtectionAgency,3140496
46,https://w3id.org/arco/ontology/core/description,3093612
47,http://purl.org/dc/elements/1.1/date,3055782
48,https://w3id.org/arco/ontology/core/note,3049543
49,http://www.w3.org/2000/01/rdf-schema#comment,3032814
50,https://w3id.org/arco/ontology/context-description/hasAuthorshipAttribution,3028572
51,https://w3id.org/arco/ontology/catalogue/lastUpdateDate,3027744
52,http://purl.org/dc/elements/1.1/title,3027715
53,https://w3id.org/arco/ontology/denotative-description/hasCulturalPropertyType,3006091
54,https://w3id.org/arco/ontology/location/isCulturalPropertyAddressOf,3005925
55,http://purl.org/dc/terms/spatial,3005854
56,https://w3id.org/arco/ontology/arco/hasCataloguingAgency,3005840
57,https://w3id.org/arco/ontology/arco/isCataloguingAgencyOf,3005840
58,https://w3id.org/arco/ontology/location/hasCulturalPropertyAddress,3005644
59,http://purl.org/dc/elements/1.1/coverage,2928117
60,https://w3id.org/arco/ontology/catalogue/hasResponsibleResearchAndCompilation,2915743
61,https://w3id.org/arco/ontology/arco/regionIdentifier,2892559
62,https://w3id.org/arco/ontology/context-description/specificTime,2852761
63,https://w3id.org/arco/ontology/denotative-description/hasMeasurementCollection,2848116
64,http://purl.org/dc/elements/1.1/identifier,2829469
65,http://data.cochrane.org/ontologies/pico/preview,2823128
66,http://purl.org/dc/elements/1.1/format,2820628
67,https://w3id.org/arco/ontology/context-description/isAuthorshipAttributionOf,2792515
68,https://w3id.org/arco/ontology/context-description/hasLegalSituation,2761755
69,http://purl.org/dc/elements/1.1/description,2750320
70,http://purl.org/dc/elements/1.1/rights,2745739
71,https://w3id.org/arco/ontology/arco/isHeritageProtectionAgencyOf,2720863
72,https://w3id.org/arco/ontology/catalogue/catalogueRecordIdentifier,2701417
73,https://w3id.org/arco/ontology/arco/uniqueIdentifier,2686098
74,https://w3id.org/arco/ontology/arco/catalogueNumber,2663774
75,https://w3id.org/arco/ontology/catalogue/hasCataloguingLevel,2654578
76,https://w3id.org/arco/ontology/denotative-description/hasConservationStatus,2625696
77,https://w3id.org/arco/ontology/denotative-description/hasConservationStatusType,2603504
78,https://w3id.org/arco/ontology/location/atLocation,2469757
79,https://w3id.org/arco/ontology/catalogue/hasUpdateResponsibleResearchAndCompilation,2385039
80,https://w3id.org/arco/ontology/catalogue/hasAccessProfile,2337382
81,https://w3id.org/arco/ontology/catalogue/hasPrivacyLevel,2337376
82,https://w3id.org/arco/ontology/location/hasCulturalInstituteOrSite,2333624
83,https://w3id.org/arco/ontology/catalogue/hasPrivacyReason,2327204
84,https://w3id.org/arco/ontology/core/specifications,2131559
85,https://w3id.org/arco/ontology/location/atSite,2124588
86,https://w3id.org/italia/onto/MU/hasMeasurementUnit,2058068
87,https://w3id.org/arco/ontology/context-description/hasCulturalScope,1894848
88,https://w3id.org/arco/ontology/context-description/hasBibliography,1867660
89,https://w3id.org/arco/ontology/context-description/subject,1863782
90,https://w3id.org/arco/ontology/context-description/isBibliographyOf,1843338
91,http://purl.org/dc/terms/bibliographicCitation,1768880
92,https://w3id.org/arco/ontology/context-description/bibliographicReferenceAuthor,1754319
93,https://w3id.org/arco/ontology/context-description/bibliographicReferenceDate,1751735
94,https://w3id.org/arco/ontology/context-description/bibliographicReference,1748712
95,https://w3id.org/arco/ontology/location/hasCoordinates,1656199
96,https://w3id.org/arco/ontology/location/lat,1648437
97,https://w3id.org/arco/ontology/location/long,1648437
98,https://w3id.org/arco/ontology/context-description/inventoryIdentifier,1628832
99,https://w3id.org/arco/ontology/context-description/hasAuthor,1628275
100,https://w3id.org/arco/ontology/catalogue/hasDigitalTranscriptionOperator,1532653
101,https://w3id.org/arco/ontology/denotative-description/hasAffixedElement,1500793
102,http://purl.org/dc/elements/1.1/creator,1462131
103,https://w3id.org/arco/ontology/context-description/hasSubject,1456461
104,https://w3id.org/arco/ontology/context-description/isSubjectOf,1452159
105,https://w3id.org/arco/ontology/denotative-description/positionOnCulturalProperty,1303531
106,https://w3id.org/italia/onto/CLV/hasGeometry,1294823
107,http://data.cochrane.org/ontologies/pico/author,1294775
108,https://w3id.org/italia/onto/CLV/hasGeometryType,1265124
109,https://w3id.org/italia/onto/CLV/isGeometryFor,1259079
110,https://w3id.org/arco/ontology/context-description/bibliographyLocalIdentifier,1179173
111,https://w3id.org/arco/ontology/context-description/hasInventorySituation,1134525
112,https://w3id.org/arco/ontology/context-description/hasAttributedAuthor,1130317
113,https://w3id.org/italia/onto/CLV/serialization,1038947
114,https://w3id.org/arco/ontology/denotative-description/hasTechnique,1036350
115,https://w3id.org/arco/ontology/denotative-description/transcript,1034652
116,https://w3id.org/arco/ontology/context-description/historicalInformation,1030120
117,https://w3id.org/arco/ontology/denotative-description/hasFunctionalPurpose,1000179
118,https://w3id.org/italia/onto/l0/identifier,983067
119,https://w3id.org/italia/onto/TI/time,980004
120,https://w3id.org/arco/ontology/context-description/hasOwner,979443
121,https://w3id.org/arco/ontology/context-description/hasPreferredAuthor,842651
122,https://w3id.org/arco/ontology/arco/hasCulturalPropertyCataloguingCategory,826129
123,https://w3id.org/arco/ontology/context-description/isAuthorOf,787565
124,https://w3id.org/arco/ontology/denotative-description/hasFontStyle,747875
125,https://w3id.org/arco/ontology/context-description/involvesRelatedWork,708938
126,https://w3id.org/arco/ontology/location/isCulturalInstituteOrSiteOf,696141
127,https://w3id.org/arco/ontology/context-description/hasInterventionRole,608713
128,https://w3id.org/arco/ontology/arco/hasCulturalPropertyCategory,559654
129,https://w3id.org/arco/ontology/catalogue/hasAlternativeIdentifier,507613
130,https://w3id.org/arco/ontology/context-description/hasRelatedWorkSituation,449766
131,https://w3id.org/arco/ontology/denotative-description/hasPhotoColour,438767
132,https://w3id.org/arco/ontology/core/hasType,434056
133,https://w3id.org/arco/ontology/core/hasPart,430721
134,https://w3id.org/arco/ontology/context-description/hasAcquisition,429906
135,https://w3id.org/arco/ontology/context-description/isAcquisitionOf,429531
136,https://w3id.org/arco/ontology/context-description/hasAcquisitionType,422723
137,https://w3id.org/arco/ontology/core/isComponentOf,420451
138,https://w3id.org/arco/ontology/catalogue/localIdentifier,419633
139,https://w3id.org/italia/onto/Language/hasLanguage,399366
140,http://www.w3.org/2002/07/owl#sameAs,393740
141,https://w3id.org/arco/ontology/context-description/hasCollection,362944
142,https://w3id.org/arco/ontology/arco/numberOfComponents,341171
143,https://w3id.org/arco/ontology/denotative-description/hasMaterial,340867
144,https://w3id.org/arco/ontology/core/isPartOf,325767
145,https://w3id.org/arco/ontology/context-description/documentationLocation,306737
146,https://w3id.org/arco/ontology/denotative-description/hasDesignationInTime,299792
147,https://w3id.org/arco/ontology/context-description/isCollectionIn,296248
148,https://w3id.org/arco/ontology/context-description/hasTitle,285587
149,https://w3id.org/arco/ontology/context-description/iconclassCode,281301
150,https://w3id.org/arco/ontology/catalogue/hasScientificDirector,280483
151,https://w3id.org/arco/ontology/context-description/hasPreviousOwner,263704
152,https://w3id.org/arco/ontology/arco/isCulturalPropertyComponentOf,254774
153,https://w3id.org/arco/ontology/context-description/isArchivalUnitMemberOf,254337
154,https://w3id.org/arco/ontology/context-description/hasArchive,253029
155,http://www.w3.org/2004/02/skos/core#relatedMatch,245904
156,http://purl.org/dc/terms/relation,229800
157,https://w3id.org/arco/ontology/context-description/hasMemberOfArchivalRecordSet,223543
158,https://w3id.org/arco/ontology/context-description/isMemberOfArchivalRecordSetOf,223506
159,https://w3id.org/arco/ontology/context-description/isRelatedWorkSituationOf,215407
160,https://w3id.org/arco/ontology/denotative-description/refersToAgent,212131
161,https://w3id.org/arco/ontology/context-description/acquisitionLocation,207369
162,https://w3id.org/arco/ontology/context-description/documentationTitle,206739
163,https://w3id.org/arco/ontology/context-description/hasActivityResponsible,205625
164,https://w3id.org/arco/ontology/context-description/useFunction,199804
165,https://w3id.org/arco/ontology/context-description/hasUse,196897
166,https://w3id.org/arco/ontology/context-description/hasIntervention,192153
167,https://w3id.org/arco/ontology/context-description/agentDate,191909
168,https://w3id.org/italia/onto/CLV/hasProvince,188222
169,https://w3id.org/italia/onto/CLV/hasCity,187463
170,https://w3id.org/italia/onto/CLV/hasCountry,185659
171,https://w3id.org/arco/ontology/construction-description/hasConstructionElement,174162
172,https://w3id.org/arco/ontology/context-description/isTitleOf,172553
173,https://w3id.org/arco/ontology/context-description/hasTitleType,170627
174,https://w3id.org/arco/ontology/context-description/hasMeasurementCollection,170552
175,https://w3id.org/arco/ontology/denotative-description/validity,169542
176,https://w3id.org/arco/ontology/catalogue/hasUpdateOfficialInCharge,167050
177,https://w3id.org/arco/ontology/context-description/hasFormat,164551
178,https://w3id.org/arco/ontology/context-description/completeBibliographicReference,162947
179,https://w3id.org/italia/onto/SM/URL,161538
180,https://w3id.org/arco/ontology/denotative-description/hasShape,161400
181,https://w3id.org/arco/ontology/arco/endTime,156892
182,https://w3id.org/arco/ontology/arco/startTime,155467
183,https://w3id.org/arco/ontology/context-description/hasSurvey,154008
184,https://w3id.org/arco/ontology/immovable-property/hasConstructionElement,152944
185,https://w3id.org/arco/ontology/context-description/subjectDescription,150984
186,https://w3id.org/italia/onto/CLV/hasRegion,148032
187,https://w3id.org/italia/onto/CLV/fullAddress,145148
188,https://w3id.org/arco/ontology/context-description/hasUseType,142864
189,https://w3id.org/arco/ontology/location/hasCadastralEntity,138356
190,https://w3id.org/arco/ontology/context-description/agentLocalIdentifier,136517
191,https://w3id.org/arco/ontology/context-description/hasActivityOperator,134454
192,https://w3id.org/arco/ontology/location/hasBaseMap,129674
193,https://w3id.org/arco/ontology/context-description/folio,128164
194,http://dati.beniculturali.it/cis/siteAddress,126170
195,https://w3id.org/arco/ontology/denotative-description/positionInComplexCulturalProperty,125525
196,https://w3id.org/arco/ontology/context-description/findingNote,121623
197,https://w3id.org/arco/ontology/context-description/properTitle,120252
198,https://w3id.org/italia/onto/AccessCondition/hasAccessCondition,117782
199,https://w3id.org/italia/onto/l0/description,117368
200,https://w3id.org/arco/ontology/core/current,117191
201,https://w3id.org/arco/ontology/denotative-description/hasDesignationType,112490
202,https://w3id.org/arco/ontology/context-description/hasProtectiveMeasure,112194
203,https://w3id.org/arco/ontology/arco/hasMibacScopeOfProtection,111978
204,https://w3id.org/arco/ontology/location/spacialReferenceSystem,111555
205,https://w3id.org/arco/ontology/location/hasGeometryMethod,98741
206,https://w3id.org/arco/ontology/location/hasGeometryTechnique,98595
207,https://w3id.org/arco/ontology/context-description/title,97109
208,http://www.w3.org/2000/01/rdf-schema#seeAlso,95401
209,https://w3id.org/arco/ontology/denotative-description/isCharacteristicClassifiedBy,93999
210,https://w3id.org/italia/onto/CLV/hasAddress,93590
211,https://w3id.org/arco/ontology/context-description/hasSurveyScientificDirector,91637
212,https://w3id.org/arco/ontology/context-description/hasProponentAgency,90609
213,https://w3id.org/arco/ontology/context-description/isProponentAgencyOf,90448
214,https://w3id.org/arco/ontology/arco/suffix,90330
215,https://w3id.org/italia/onto/TI/date,90079
216,https://w3id.org/arco/ontology/location/hasCadastralIdentity,88071
217,https://w3id.org/arco/ontology/denotative-description/occurrences,86690
218,http://www.w3.org/2002/07/owl#deprecated,83521
219,https://w3id.org/arco/ontology/movable-property/hasTaxon,82810
220,https://w3id.org/arco/ontology/core/hasClassificationInTime,82337
221,https://w3id.org/arco/ontology/context-description/hasEdition,81979
222,https://w3id.org/italia/onto/SM/hasOnlineContactPoint,80123
223,http://dati.beniculturali.it/cis/involvesCulturalEntity,80073
224,https://w3id.org/arco/ontology/context-description/hasAgentWithResponsibility,79470
225,https://w3id.org/arco/ontology/context-description/hasResponsibility,79470
226,https://w3id.org/italia/onto/CPV/familyName,78982
227,https://w3id.org/arco/ontology/context-description/hasCircumstance,78375
228,https://w3id.org/italia/onto/CPV/givenName,76850
229,https://w3id.org/arco/ontology/denotative-description/hasCulturalPropertyDefinition,72803
230,https://w3id.org/italia/onto/TI/hasDayOfWeek,72786
231,https://w3id.org/italia/onto/AccessCondition/hasAdmissionType,72786
232,https://w3id.org/italia/onto/AccessCondition/closes,72786
233,https://w3id.org/italia/onto/AccessCondition/opens,72786
234,https://w3id.org/arco/ontology/context-description/issueDate,70861
235,https://w3id.org/arco/ontology/location/hasCadastralCity,68636
236,https://w3id.org/arco/ontology/context-description/hasBibliographyType,66817
237,http://www.w3.org/2004/02/skos/core#prefLabel,66722
238,https://w3id.org/arco/ontology/catalogue/deletedICCDIdentifier,66459
239,http://lod.xdams.org/reload/oad/extentAndMedium,64365
240,https://w3id.org/italia/onto/SM/hasTelephone,64242
241,https://w3id.org/italia/onto/CPV/sexID,62556
242,https://w3id.org/italia/onto/CPV/hasSex,62533
243,https://w3id.org/arco/ontology/context-description/hasCommission,62484
244,https://w3id.org/arco/ontology/context-description/hasCommittent,60598
245,https://w3id.org/arco/ontology/immovable-property/hasCovering,59517
246,https://w3id.org/arco/ontology/construction-description/hasCovering,59517
247,https://w3id.org/arco/ontology/context-description/digitalFileName,59061
248,https://w3id.org/arco/ontology/natural-specimen-description/hasTaxon,58083
249,http://dati.beniculturali.it/cis/hasSite,57886
250,https://w3id.org/arco/ontology/denotative-description/hasIconographicOrDecorativeApparatus,57319
251,https://w3id.org/italia/onto/CLV/hasAddressArea,57254
252,https://w3id.org/arco/ontology/context-description/hasActivitySponsor,56636
253,https://w3id.org/arco/ontology/core/isIdentifiedBy,56357
254,https://w3id.org/arco/ontology/context-description/editionLocation,55858
255,https://w3id.org/arco/ontology/core/isClassifiedBy,55373
256,https://w3id.org/arco/ontology/context-description/hasAuthorityFileCataloguingAgency,55103
257,https://w3id.org/arco/ontology/catalogue/hasUpdateResponsibleAgent,53828
258,https://w3id.org/arco/ontology/location/hasSiteType,53749
259,https://w3id.org/arco/ontology/core/hasAutoreOpera,53360
260,https://w3id.org/arco/ontology/denotative-description/hasIconographicOrDecorativeApparatusType,52531
261,https://w3id.org/italia/onto/SM/hasEmail,50604
262,https://w3id.org/arco/ontology/context-description/attributedTitle,47697
263,http://www.w3.org/2004/02/skos/core#inScheme,47551
264,https://w3id.org/arco/ontology/context-description/hasCulturalPropertyStage,46994
265,https://w3id.org/arco/ontology/natural-specimen-description/hasSpecimenHarvesting,46421
266,https://w3id.org/arco/ontology/movable-property/hasSpecimenHarvesting,46415
267,https://w3id.org/arco/ontology/context-description/isSpecimenMemberOf,45830
268,http://dati.beniculturali.it/cis/isSubjectOf,45732
269,https://w3id.org/arco/ontology/context-description/hasUrbanPlanningInstrument,45556
270,https://w3id.org/arco/ontology/context-description/isMemberOfSpecimenCollectionOf,45526
271,http://www.w3.org/2004/02/skos/core#broader,45105
272,http://www.w3.org/2004/02/skos/core#narrower,45101
273,https://w3id.org/italia/onto/CLV/postCode,44970
274,https://w3id.org/arco/ontology/context-description/insertionDate,44265
275,http://www.w3.org/2004/02/skos/core#closeMatch,43723
276,https://w3id.org/arco/ontology/movable-property/isClassifiedByCurrentTaxon,42576
