"s","label"
"https://w3id.org/arco/resource/CulturalEvent/80cf528ee4028b6e5a4fda26774e4386","Como/ Milano"
"https://w3id.org/arco/resource/CulturalEvent/c28c5606010bde5e006b6e9ad01ab5b5","Como/ Milano"
"https://w3id.org/arco/resource/CulturalEvent/cdfd9b07fdfd0c9fcc794bb0123ff900","Fossombrone"
"https://w3id.org/arco/resource/CulturalEvent/30a69049a1532f4486978482a1e739bc","Genova"
"https://w3id.org/arco/resource/CulturalEvent/30a69049a1532f4486978482a1e739bc","GENOVA"
"https://w3id.org/arco/resource/CulturalEvent/45bbb891a39b242b6f9f65c80f7e592e","Ancona"
"https://w3id.org/arco/resource/CulturalEvent/50e85fe01fdded927759d8d0edda358d","PN/Sacile"
"https://w3id.org/arco/resource/CulturalEvent/cc1a7e32bcade474e42580df05915d40","Ascoli Piceno"
"https://w3id.org/arco/resource/CulturalEvent/842ff6569ab665c5d2c6471a66688ade","Grinnell"
"https://w3id.org/arco/resource/CulturalEvent/4c3725cc3df933a1ec3fb18a5f6b5309","Treviso, Casa da Noal"
"https://w3id.org/arco/resource/CulturalEvent/4c3725cc3df933a1ec3fb18a5f6b5309","Treviso/ Casa da Noal"
"https://w3id.org/arco/resource/CulturalEvent/012973d95bba3279bc7532d348741287","Lione"
"https://w3id.org/arco/resource/CulturalEvent/088f9984674875e35e113c47fb45a5ee","Lione"
"https://w3id.org/arco/resource/CulturalEvent/09515f561a91353ac88ac79fe2c8f1f1","Chicago"
"https://w3id.org/arco/resource/CulturalEvent/21bb7835b3743c43627c77e7503215c9","Parigi/ Roma/ Milano"
"https://w3id.org/arco/resource/CulturalEvent/263309aa78678200b80927d20579d104","Roma-Firenze"
"https://w3id.org/arco/resource/CulturalEvent/27ebb5193b04180248d9a9269a631a85","Berna"
"https://w3id.org/arco/resource/CulturalEvent/34b36aebfcca4a5417fc0be212177e87","Parigi/ Ottawa"
"https://w3id.org/arco/resource/CulturalEvent/5d96a2acbe6459255b4dc4e72d9edb1d","FI/ Palazzo Strozzi"
"https://w3id.org/arco/resource/CulturalEvent/5dcc89695cd89d9d0ce73c1ea1b6d2f9","Firenze/ Detroit"
"https://w3id.org/arco/resource/CulturalEvent/5dcc89695cd89d9d0ce73c1ea1b6d2f9","Firenze- Detroit"
"https://w3id.org/arco/resource/CulturalEvent/5dcc89695cd89d9d0ce73c1ea1b6d2f9","Detroit/ Firenze"
"https://w3id.org/arco/resource/CulturalEvent/5dcc89695cd89d9d0ce73c1ea1b6d2f9","Detroit-Firenze"
"https://w3id.org/arco/resource/CulturalEvent/6617e47a3e49b8a437922adad2a1591c","New York/ Tulsa/ Dayton"
"https://w3id.org/arco/resource/CulturalEvent/6d2b97166e9ea42c2e9548edc685da07","AR/ Cortona/ Chiesa di S.Agostino"
"https://w3id.org/arco/resource/CulturalEvent/900dd83462c39c70e0a2b90d9d856298","Lyon"
"https://w3id.org/arco/resource/CulturalEvent/ad8eb15bd3018d8020bc7d0dca2a444a","New York-Houston"
"https://w3id.org/arco/resource/CulturalEvent/dd69bab3d5429e83cb0ddb4f7f883e86","Atene-Napoli"
"https://w3id.org/arco/resource/CulturalEvent/dd69bab3d5429e83cb0ddb4f7f883e86","Atene/ Napoli"
"https://w3id.org/arco/resource/CulturalEvent/f83a692e87afe3ee5f608e7f308edd70","Firenze, Uffizi"
"https://w3id.org/arco/resource/CulturalEvent/f83a692e87afe3ee5f608e7f308edd70","Firenze. Uffizi"
"https://w3id.org/arco/resource/CulturalEvent/f919c5a3eb95b5c8b03e5f9e132097ff","Heidelberg"
"https://w3id.org/arco/resource/CulturalEvent/fc7e2d1db3669273e3e239b69f92290a","Cleveland"
"https://w3id.org/arco/resource/CulturalEvent/fc7e2d1db3669273e3e239b69f92290a","CLEVELAND"
"https://w3id.org/arco/resource/CulturalEvent/25112db840ca7333431bf51ee7bc7275","Chiesa di S.Francesco a Corciano"
"https://w3id.org/arco/resource/CulturalEvent/3df1e697ac914421661ddfcc30d2bccd","Terni"
"https://w3id.org/arco/resource/CulturalEvent/89d4e32f5061db263f14ec40581ecb86","Corciano"
"https://w3id.org/arco/resource/CulturalEvent/a4729b172751f7e69fbbc909bf9c21e0","Corciano"
"https://w3id.org/arco/resource/CulturalEvent/0862e0d7d62c9d35a693c5423818ebaf","Todi"
"https://w3id.org/arco/resource/CulturalEvent/59cda1291df05d4b389a63637053436c","Zagabria/ Galerija Klovicévi Dvori"
"https://w3id.org/arco/resource/CulturalEvent/4fa65cba557e3cb7a679b854d3c3c404","Longarone (BL)"
"https://w3id.org/arco/resource/CulturalEvent/5c9e4b8f6406887830e556c22b114af2","Koln-Zurigo-Lione"
"https://w3id.org/arco/resource/CulturalEvent/0d14f2333e01f4484f0eb6c4abaa0430","Vigevano, Castello, 3 ottobre 2009 - 31 gennaio 20"
"https://w3id.org/arco/resource/CulturalEvent/1a15506d65e1e2b4cd5d51b40193f259","Milano, Palazzo della Triennale, 1951"
"https://w3id.org/arco/resource/CulturalEvent/1a15506d65e1e2b4cd5d51b40193f259","Milano, Palazzo della Triennale, 1951?"
"https://w3id.org/arco/resource/CulturalEvent/267eb22b1f76ddf468a6bf4932088810","Milano, Palazzo Reale, 2009"
"https://w3id.org/arco/resource/CulturalEvent/290e61771bb3e2e4ca704bb7f3938401","iMlano, Castello Sforzesco, 1995"
"https://w3id.org/arco/resource/CulturalEvent/4531a43ee87fe3e00f3028aaff4e4872","Milano, 1874"
"https://w3id.org/arco/resource/CulturalEvent/5de1b5340ee012bb23ae2f213fe98f1c","Cantù, settembre 1959"
"https://w3id.org/arco/resource/CulturalEvent/64abbff687742b6189fba397a5ef58d8","Firenze, Palazzo Strozzi, 1967"
"https://w3id.org/arco/resource/CulturalEvent/734593e62079782c87958ddae4e443be","Busto Arsizio, Palazzo Bandera, 1993"
"https://w3id.org/arco/resource/CulturalEvent/b9d8d7a1d7fd57e3a95da71810f4ee24","Milano, Galleria Diarcon, 1972"
"https://w3id.org/arco/resource/CulturalEvent/e36539812563b3d5673c29c0a40ffc07","Milano, Catsello Sforzesco, 1995"
"https://w3id.org/arco/resource/CulturalEvent/e7c329260da1e82d8791eae94998d953","Milano, Castello Sforzesco, 15.12.2000 - 24.4.2000"
"https://w3id.org/arco/resource/CulturalEvent/fbd199218a313c818740449c88f7c3f1","Como, 1959"
"https://w3id.org/arco/resource/CulturalEvent/0d0dd18c8d04ac83c219291618c840c8","Como, , 1948"
"https://w3id.org/arco/resource/CulturalEvent/0e5d3affd8a6857d9ca524e4c08bef3a","Varese, , 1988"
"https://w3id.org/arco/resource/CulturalEvent/0f81c254033a6a4001f72044e0cfcf31","Treviglio, , 1965"
"https://w3id.org/arco/resource/CulturalEvent/13740378c04e6f4ca74fa31beb676360","Desio, , 1983"
"https://w3id.org/arco/resource/CulturalEvent/17fb485003dc942ffcfec93ca4607e77","Gallarate, , 1990"
"https://w3id.org/arco/resource/CulturalEvent/1a1dfa0073eb49ae8c64790aadddf492","Gallarate, , 1997"
"https://w3id.org/arco/resource/CulturalEvent/2090d0c6efbbf9ff329d58237195e9e6","La Spezia, , 2001"
"https://w3id.org/arco/resource/CulturalEvent/233a07b1a27e792c07c155a57728049c","Gallarate, Civica Galleria, , 1999"
"https://w3id.org/arco/resource/CulturalEvent/36d5bd4a036d4f2831fc7e564188560c","Gallarate, , 1995"
"https://w3id.org/arco/resource/CulturalEvent/395ec0c4860080c2b653570f52a97c95","Carnago, , 1992"
"https://w3id.org/arco/resource/CulturalEvent/3d0b6bf3ee990ad6f12830b432449805","Gallarate, , 2000-2001"
"https://w3id.org/arco/resource/CulturalEvent/411f306ac7780383d50bfa806cb83693","Gallarate, , 1988"
"https://w3id.org/arco/resource/CulturalEvent/4587848738dc32ee5a3c3f09177ddd9a","Novara Diocesi, , 1990"
"https://w3id.org/arco/resource/CulturalEvent/461f24d4bb7cb6380dcd8fc46d2ab1b9","Parma Galleria Niccoli, , 1996"
"https://w3id.org/arco/resource/CulturalEvent/461f24d4bb7cb6380dcd8fc46d2ab1b9","Parma, galleria Niccoli, , 1996"
