"s","label"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530855","Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530855","RM, ROMA"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530855","Italia, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530855","ITALIA, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530855","Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530855","RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530855","ITALIA, Lazio, RM, Roma, Agro Romano"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530855","ITALIA, Lazio, RM, Roma, Castel Malnome"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530855","ITALIA, Lazio, RM, Roma, Prati Fiscali"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530855","Italia, Lombardia, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530855","ITALIA, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530855","ITALIA, Lazio, RM, Roma, ante 1873"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530855","Italia, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530855","Rm, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530855","Italia, Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530855","Italia, Lazio, RM, ROMA"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530855","Italia, Roma, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530855","ITALIA, Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530855","ITALIA, Lazio, RM, Roma, Ghetto"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530855","ITALIA, Lazio, RM, Roma, Circo Massimo (lato breve curvo)"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530855","Europa, ITALIA, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530855","Europa - Italia - Lazio - Rm - Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530858","Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530858","RM, ROMA"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530858","Italia, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530858","ITALIA, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530858","Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530858","RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530858","ITALIA, Lazio, RM, Roma, Agro Romano"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530858","ITALIA, Lazio, RM, Roma, Castel Malnome"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530858","ITALIA, Lazio, RM, Roma, Prati Fiscali"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530858","Italia, Lombardia, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530858","ITALIA, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530858","ITALIA, Lazio, RM, Roma, ante 1873"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530858","Italia, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530858","Rm, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530858","Italia, Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530858","Italia, Lazio, RM, ROMA"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530858","Italia, Roma, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530858","ITALIA, Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530858","ITALIA, Lazio, RM, Roma, Ghetto"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530858","ITALIA, Lazio, RM, Roma, Circo Massimo (lato breve curvo)"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530858","Europa, ITALIA, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530858","Europa - Italia - Lazio - Rm - Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","RM, ROMA"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","Italia, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","ITALIA, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","ITALIA, Lazio, RM, Roma, Agro Romano"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","ITALIA, Lazio, RM, Roma, Castel Malnome"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","ITALIA, Lazio, RM, Roma, Prati Fiscali"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","Italia, Lombardia, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","ITALIA, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","ITALIA, Lazio, RM, Roma, ante 1873"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","Italia, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","Rm, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","Italia, Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","Italia, Lazio, RM, ROMA"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","Italia, Roma, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","ITALIA, Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","ITALIA, Lazio, RM, Roma, Ghetto"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","ITALIA, Lazio, RM, Roma, Circo Massimo (lato breve curvo)"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","Europa, ITALIA, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","Europa - Italia - Lazio - Rm - Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530869","Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530869","RM, ROMA"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530869","Italia, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530869","ITALIA, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530869","Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530869","RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530869","ITALIA, Lazio, RM, Roma, Agro Romano"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530869","ITALIA, Lazio, RM, Roma, Castel Malnome"
