,dbpedia,latitude,longitude
0,"http://dbpedia.org/resource/Este,_Veneto",45.2333,11.6667
0,http://dbpedia.org/resource/Padua,45.4167,11.8667
0,http://dbpedia.org/resource/Siena,43.3186,11.3306
0,http://dbpedia.org/resource/Ancona,43.6169,13.5167
0,http://dbpedia.org/resource/Chieti,42.35,14.1667
0,http://dbpedia.org/resource/Mantua,45.1564,10.7917
0,http://dbpedia.org/resource/Milan,45.4669,9.19
0,http://dbpedia.org/resource/Numana,43.5167,13.6167
0,http://dbpedia.org/resource/San_Salvador,13.6989,-89.1914
0,http://dbpedia.org/resource/Sirmione,45.4925,10.6083
0,http://dbpedia.org/resource/Casalmaggiore,44.9833,10.4167
0,http://dbpedia.org/resource/Cremona,45.1333,10.0333
0,http://dbpedia.org/resource/Lecce,40.35,18.1667
0,http://dbpedia.org/resource/Norcia,42.7933,13.0939
0,http://dbpedia.org/resource/Province_of_Rome,41.8931,12.4828
0,http://dbpedia.org/resource/Rovigo,45.0703,11.7906
0,http://dbpedia.org/resource/Bougara,36.5333,3.08333
0,http://dbpedia.org/resource/Turin,45.0792,7.67611
0,http://dbpedia.org/resource/Varese,45.8167,8.83333
0,"http://dbpedia.org/resource/Viadana,_Lombardy",44.9167,10.5167
0,http://dbpedia.org/resource/Fratta_Polesine,45.0333,11.65
0,http://dbpedia.org/resource/Sant'Angelo_Lodigiano,45.2333,9.4
0,http://dbpedia.org/resource/Como,45.8167,9.08333
0,http://dbpedia.org/resource/Reggio_Calabria,38.1114,15.6619
0,http://dbpedia.org/resource/Matera,40.6667,16.6
0,http://dbpedia.org/resource/Bernalda,40.4167,16.6833
0,http://dbpedia.org/resource/Sassari,40.7333,8.56667
0,http://dbpedia.org/resource/Taranto,40.4667,17.2333
0,http://dbpedia.org/resource/Viterbo,42.4167,12.1
0,http://dbpedia.org/resource/Perugia,43.1122,12.3889
0,http://dbpedia.org/resource/Porto_Torres,40.8333,8.4
0,http://dbpedia.org/resource/Senorbì,39.5333,9.13333
0,http://dbpedia.org/resource/Urbino,43.7167,12.6333
0,http://dbpedia.org/resource/Florence,43.7714,11.2542
0,http://dbpedia.org/resource/Minturno,41.2667,13.75
0,http://dbpedia.org/resource/Cividale_del_Friuli,46.1,13.4333
0,http://dbpedia.org/resource/Verona,45.4386,10.9928
0,http://dbpedia.org/resource/Pieve_di_Cadore,46.4333,12.3667
0,http://dbpedia.org/resource/Sesto_Calende,45.7333,8.63333
0,http://dbpedia.org/resource/Cervarese_Santa_Croce,45.4167,11.6833
0,http://dbpedia.org/resource/Tarquinia,42.2492,11.7561
0,http://dbpedia.org/resource/Fasano,40.8333,17.3667
0,http://dbpedia.org/resource/Iesi,43.5236,13.2392
0,http://dbpedia.org/resource/Cingoli,43.3667,13.2167
0,http://dbpedia.org/resource/Manfredonia,41.6333,15.9167
0,http://dbpedia.org/resource/Rimini,44.0594,12.5683
0,http://dbpedia.org/resource/Vittorio_Veneto,45.9833,12.3
0,"http://dbpedia.org/resource/Pergola,_Marche",43.5667,12.8333
0,http://dbpedia.org/resource/Adria,45.05,12.05
0,http://dbpedia.org/resource/Messina,38.1936,15.5542
0,http://dbpedia.org/resource/Pesaro,43.9167,12.9
0,http://dbpedia.org/resource/Pollenza,43.2667,13.35
0,http://dbpedia.org/resource/Fano,43.8333,13.0167
0,http://dbpedia.org/resource/Amendolara,39.95,16.5833
0,http://dbpedia.org/resource/Cosenza,39.3,16.25
0,http://dbpedia.org/resource/Fossombrone,43.7,12.8167
0,http://dbpedia.org/resource/Osimo,43.4833,13.4833
0,http://dbpedia.org/resource/Treia,43.3111,13.3125
0,http://dbpedia.org/resource/Urbisaglia,43.2,13.3833
0,http://dbpedia.org/resource/Sassoferrato,43.4336,12.8583
0,http://dbpedia.org/resource/Porto_Recanati,43.4322,13.6647
0,http://dbpedia.org/resource/Lucera,41.5,15.3333
0,http://dbpedia.org/resource/Ascoli_Piceno,42.85,13.5833
0,http://dbpedia.org/resource/Sarno,40.8167,14.6167
0,http://dbpedia.org/resource/Ventimiglia,43.7903,7.60833
0,"http://dbpedia.org/resource/Castelseprio,_Lombardy",45.7167,8.86667
0,http://dbpedia.org/resource/Somma_Lombardo,45.6833,8.7
0,"http://dbpedia.org/resource/Carbonia,_Sardinia",39.1672,8.52222
0,http://dbpedia.org/resource/Naples,40.8333,14.25
0,http://dbpedia.org/resource/Ferrara,44.8333,11.6167
0,http://dbpedia.org/resource/Gubbio,43.35,12.5667
0,http://dbpedia.org/resource/L'Aquila,42.35,13.4
0,http://dbpedia.org/resource/Grottazzolina,43.1167,13.6
0,http://dbpedia.org/resource/Recanati,43.4,13.55
0,http://dbpedia.org/resource/Pioraco,43.1833,12.9833
0,http://dbpedia.org/resource/Camerano,43.5333,13.55
0,http://dbpedia.org/resource/Eboli,40.6163,15.0549
0,http://dbpedia.org/resource/Scotland,55.9531,-3.18889
0,http://dbpedia.org/resource/Aquileia,45.7697,13.3712
0,http://dbpedia.org/resource/Potenza,40.6333,15.8
0,"http://dbpedia.org/resource/Luni,_Italy",44.0848,10.042
0,http://dbpedia.org/resource/Finale_Ligure,44.1714,8.34444
0,http://dbpedia.org/resource/Genoa,44.4111,8.93278
0,http://dbpedia.org/resource/Acquaviva_Picena,42.95,13.8167
0,http://dbpedia.org/resource/Bene_Vagienna,44.55,7.83333
0,http://dbpedia.org/resource/Ripatransone,43.0,13.7667
0,http://dbpedia.org/resource/San_Benedetto_del_Tronto,42.95,13.8833
0,"http://dbpedia.org/resource/Grado,_Friuli-Venezia_Giulia",45.6778,13.3947
0,http://dbpedia.org/resource/Selva_di_Cadore,46.45,12.0333
0,http://dbpedia.org/resource/Parma,44.8015,10.328
0,http://dbpedia.org/resource/Campobasso,41.5667,14.6667
0,http://dbpedia.org/resource/Sperlonga,41.2667,13.4333
0,http://dbpedia.org/resource/Piobbico,43.5875,12.5111
0,http://dbpedia.org/resource/Venice,45.4375,12.3358
0,"http://dbpedia.org/resource/Cabras,_Sardinia",39.9333,8.53333
0,http://dbpedia.org/resource/Palazzolo_Acreide,37.0667,14.9
0,http://dbpedia.org/resource/Montefiore_dell'Aso,43.05,13.75
0,http://dbpedia.org/resource/San_Severino_Marche,43.2333,13.1833
0,"http://dbpedia.org/resource/Arona,_Piedmont",45.75,8.55
