,dbpedia,region,regionLabel
0,"http://dbpedia.org/resource/Este,_Veneto",http://dbpedia.org/resource/Veneto,Veneto
0,http://dbpedia.org/resource/Padua,http://dbpedia.org/resource/Veneto,Veneto
0,http://dbpedia.org/resource/Siena,http://dbpedia.org/resource/Tuscany,Toscana
0,http://dbpedia.org/resource/Chieti,http://dbpedia.org/resource/Abruzzo,Abruzzo
0,http://dbpedia.org/resource/Mantua,http://dbpedia.org/resource/Lombardy,Lombardia
1,http://dbpedia.org/resource/Mantua,http://dbpedia.org/resource/Lombardy,Consiglio regionale della Lombardia
0,http://dbpedia.org/resource/Numana,http://dbpedia.org/resource/Marche,Marche
1,http://dbpedia.org/resource/Numana,http://dbpedia.org/resource/Marche,Marken
0,http://dbpedia.org/resource/Sirmione,http://dbpedia.org/resource/Lombardy,Lombardia
1,http://dbpedia.org/resource/Sirmione,http://dbpedia.org/resource/Lombardy,Consiglio regionale della Lombardia
0,http://dbpedia.org/resource/Casalmaggiore,http://dbpedia.org/resource/Lombardy,Lombardia
1,http://dbpedia.org/resource/Casalmaggiore,http://dbpedia.org/resource/Lombardy,Consiglio regionale della Lombardia
0,http://dbpedia.org/resource/Cremona,http://dbpedia.org/resource/Lombardy,Lombardia
1,http://dbpedia.org/resource/Cremona,http://dbpedia.org/resource/Lombardy,Consiglio regionale della Lombardia
0,http://dbpedia.org/resource/Lecce,http://dbpedia.org/resource/Apulia,Puglia
0,http://dbpedia.org/resource/Norcia,http://dbpedia.org/resource/Umbria,Umbria
0,http://dbpedia.org/resource/Rovigo,http://dbpedia.org/resource/Veneto,Veneto
0,http://dbpedia.org/resource/Turin,http://dbpedia.org/resource/Piedmont,Piemonte
0,http://dbpedia.org/resource/Varese,http://dbpedia.org/resource/Lombardy,Lombardia
1,http://dbpedia.org/resource/Varese,http://dbpedia.org/resource/Lombardy,Consiglio regionale della Lombardia
0,"http://dbpedia.org/resource/Viadana,_Lombardy",http://dbpedia.org/resource/Lombardy,Lombardia
1,"http://dbpedia.org/resource/Viadana,_Lombardy",http://dbpedia.org/resource/Lombardy,Consiglio regionale della Lombardia
0,http://dbpedia.org/resource/Fratta_Polesine,http://dbpedia.org/resource/Veneto,Veneto
0,http://dbpedia.org/resource/Sant'Angelo_Lodigiano,http://dbpedia.org/resource/Lombardy,Lombardia
1,http://dbpedia.org/resource/Sant'Angelo_Lodigiano,http://dbpedia.org/resource/Lombardy,Consiglio regionale della Lombardia
0,http://dbpedia.org/resource/Como,http://dbpedia.org/resource/Lombardy,Lombardia
1,http://dbpedia.org/resource/Como,http://dbpedia.org/resource/Lombardy,Consiglio regionale della Lombardia
0,http://dbpedia.org/resource/Reggio_Calabria,http://dbpedia.org/resource/Calabria,Consiglio regionale della Calabria
1,http://dbpedia.org/resource/Reggio_Calabria,http://dbpedia.org/resource/Calabria,Calabria
0,http://dbpedia.org/resource/Matera,http://dbpedia.org/resource/Basilicata,Basilicata
0,http://dbpedia.org/resource/Bernalda,http://dbpedia.org/resource/Basilicata,Basilicata
0,http://dbpedia.org/resource/Sassari,http://dbpedia.org/resource/Sardinia,Sardegna (isola)
1,http://dbpedia.org/resource/Sassari,http://dbpedia.org/resource/Sardinia,Sardegna
2,http://dbpedia.org/resource/Sassari,http://dbpedia.org/resource/Sardinia,Regno di Sardegna
0,http://dbpedia.org/resource/Taranto,http://dbpedia.org/resource/Apulia,Puglia
0,http://dbpedia.org/resource/Viterbo,http://dbpedia.org/resource/Lazio,Latium
1,http://dbpedia.org/resource/Viterbo,http://dbpedia.org/resource/Lazio,Lazio
0,http://dbpedia.org/resource/Porto_Torres,http://dbpedia.org/resource/Sardinia,Sardegna (isola)
1,http://dbpedia.org/resource/Porto_Torres,http://dbpedia.org/resource/Sardinia,Sardegna
2,http://dbpedia.org/resource/Porto_Torres,http://dbpedia.org/resource/Sardinia,Regno di Sardegna
0,http://dbpedia.org/resource/Senorbì,http://dbpedia.org/resource/Sardinia,Sardegna (isola)
1,http://dbpedia.org/resource/Senorbì,http://dbpedia.org/resource/Sardinia,Sardegna
2,http://dbpedia.org/resource/Senorbì,http://dbpedia.org/resource/Sardinia,Regno di Sardegna
0,http://dbpedia.org/resource/Urbino,http://dbpedia.org/resource/Marche,Marche
1,http://dbpedia.org/resource/Urbino,http://dbpedia.org/resource/Marche,Marken
0,http://dbpedia.org/resource/Florence,http://dbpedia.org/resource/Tuscany,Toscana
0,http://dbpedia.org/resource/Minturno,http://dbpedia.org/resource/Lazio,Latium
1,http://dbpedia.org/resource/Minturno,http://dbpedia.org/resource/Lazio,Lazio
0,http://dbpedia.org/resource/Cividale_del_Friuli,http://dbpedia.org/resource/Friuli_Venezia_Giulia,Consiglio regionale del Friuli-Venezia Giulia
1,http://dbpedia.org/resource/Cividale_del_Friuli,http://dbpedia.org/resource/Friuli_Venezia_Giulia,Friuli
2,http://dbpedia.org/resource/Cividale_del_Friuli,http://dbpedia.org/resource/Friuli_Venezia_Giulia,Provincia di Udine
3,http://dbpedia.org/resource/Cividale_del_Friuli,http://dbpedia.org/resource/Friuli_Venezia_Giulia,Friuli-Venezia Giulia
0,http://dbpedia.org/resource/Verona,http://dbpedia.org/resource/Veneto,Veneto
0,http://dbpedia.org/resource/Pieve_di_Cadore,http://dbpedia.org/resource/Veneto,Veneto
0,http://dbpedia.org/resource/Sesto_Calende,http://dbpedia.org/resource/Lombardy,Lombardia
1,http://dbpedia.org/resource/Sesto_Calende,http://dbpedia.org/resource/Lombardy,Consiglio regionale della Lombardia
0,http://dbpedia.org/resource/Cervarese_Santa_Croce,http://dbpedia.org/resource/Veneto,Veneto
0,http://dbpedia.org/resource/Tarquinia,http://dbpedia.org/resource/Lazio,Latium
1,http://dbpedia.org/resource/Tarquinia,http://dbpedia.org/resource/Lazio,Lazio
0,http://dbpedia.org/resource/Fasano,http://dbpedia.org/resource/Apulia,Puglia
0,http://dbpedia.org/resource/Iesi,http://dbpedia.org/resource/Marche,Marche
1,http://dbpedia.org/resource/Iesi,http://dbpedia.org/resource/Marche,Marken
0,http://dbpedia.org/resource/Cingoli,http://dbpedia.org/resource/Marche,Marche
1,http://dbpedia.org/resource/Cingoli,http://dbpedia.org/resource/Marche,Marken
0,http://dbpedia.org/resource/Manfredonia,http://dbpedia.org/resource/Apulia,Puglia
0,http://dbpedia.org/resource/Rimini,http://dbpedia.org/resource/Emilia-Romagna,Emilia
1,http://dbpedia.org/resource/Rimini,http://dbpedia.org/resource/Emilia-Romagna,Emilia-Romagna
0,http://dbpedia.org/resource/Vittorio_Veneto,http://dbpedia.org/resource/Veneto,Veneto
0,"http://dbpedia.org/resource/Pergola,_Marche",http://dbpedia.org/resource/Marche,Marche
1,"http://dbpedia.org/resource/Pergola,_Marche",http://dbpedia.org/resource/Marche,Marken
0,http://dbpedia.org/resource/Adria,http://dbpedia.org/resource/Veneto,Veneto
0,http://dbpedia.org/resource/Messina,http://dbpedia.org/resource/Sicily,Sicilia
1,http://dbpedia.org/resource/Messina,http://dbpedia.org/resource/Sicily,Isola di Sicilia
2,http://dbpedia.org/resource/Messina,http://dbpedia.org/resource/Sicily,Sicilia (provincia romana)
0,http://dbpedia.org/resource/Pesaro,http://dbpedia.org/resource/Marche,Marche
1,http://dbpedia.org/resource/Pesaro,http://dbpedia.org/resource/Marche,Marken
0,http://dbpedia.org/resource/Pollenza,http://dbpedia.org/resource/Marche,Marche
1,http://dbpedia.org/resource/Pollenza,http://dbpedia.org/resource/Marche,Marken
0,http://dbpedia.org/resource/Fano,http://dbpedia.org/resource/Marche,Marche
1,http://dbpedia.org/resource/Fano,http://dbpedia.org/resource/Marche,Marken
0,http://dbpedia.org/resource/Amendolara,http://dbpedia.org/resource/Calabria,Consiglio regionale della Calabria
1,http://dbpedia.org/resource/Amendolara,http://dbpedia.org/resource/Calabria,Calabria
0,http://dbpedia.org/resource/Cosenza,http://dbpedia.org/resource/Calabria,Consiglio regionale della Calabria
1,http://dbpedia.org/resource/Cosenza,http://dbpedia.org/resource/Calabria,Calabria
0,http://dbpedia.org/resource/Osimo,http://dbpedia.org/resource/Marche,Marche
1,http://dbpedia.org/resource/Osimo,http://dbpedia.org/resource/Marche,Marken
0,http://dbpedia.org/resource/Treia,http://dbpedia.org/resource/Marche,Marche
1,http://dbpedia.org/resource/Treia,http://dbpedia.org/resource/Marche,Marken
0,http://dbpedia.org/resource/Urbisaglia,http://dbpedia.org/resource/Marche,Marche
1,http://dbpedia.org/resource/Urbisaglia,http://dbpedia.org/resource/Marche,Marken
0,http://dbpedia.org/resource/Sassoferrato,http://dbpedia.org/resource/Marche,Marche
1,http://dbpedia.org/resource/Sassoferrato,http://dbpedia.org/resource/Marche,Marken
0,http://dbpedia.org/resource/Porto_Recanati,http://dbpedia.org/resource/Marche,Marche
1,http://dbpedia.org/resource/Porto_Recanati,http://dbpedia.org/resource/Marche,Marken
0,http://dbpedia.org/resource/Lucera,http://dbpedia.org/resource/Apulia,Puglia
0,http://dbpedia.org/resource/Ascoli_Piceno,http://dbpedia.org/resource/Marche,Marche
1,http://dbpedia.org/resource/Ascoli_Piceno,http://dbpedia.org/resource/Marche,Marken
0,http://dbpedia.org/resource/Sarno,http://dbpedia.org/resource/Campania,Campania
